run_name,A_h_deg,distance_first_to_last,orientation_change_deg,displacement_x_local,displacement_y_local
A_h_4_deg,3.9992454100131463,0.006016782849707738,0.11565269919133626,0.00601640681746283,-6.72671340548721e-05
A_h_6_deg,5.998868115019719,0.007063280042241877,-0.005720586510653552,0.007059756136052926,-0.00022308799742583397
A_h_8_deg,7.9984908200262925,0.00944109878246776,0.08257979221563959,0.009439828789508426,-0.00015485039580856127
A_h_10_deg,9.998113525032865,0.012123395305476299,-0.019135870994523296,0.01211170497520416,-0.0005322746720064849
A_h_12_deg,11.997736230039438,0.013919362015409846,-0.029728992860437627,0.013916164374172124,-0.00029834213087834614
A_h_14_deg,13.99735893504601,0.017019998664288067,-0.019956185214731,0.01701660948474481,-0.0003396412461121426
A_h_16_deg,16.002711218003892,0.01872183870819139,-0.23263676144405152,0.018684308290125424,-0.0011848494989169277
A_h_18_deg,18.002333923010465,0.02078618510904456,-0.30311636081050897,0.020690052113522487,-0.001996806181678495
A_h_20_deg,20.00195662801704,0.02315938220843689,-0.2633360825755823,0.023079606886169286,-0.0019206067417226094
A_h_22_deg,22.001579333023614,0.02573103786488945,-0.4127034997745097,0.025691965767809008,-0.0014174641406768536
A_h_24_deg,24.001202038030186,0.027826792345389918,-0.4449685782916115,0.027757965787333992,-0.0019559416102344555
A_h_26_deg,26.000824743036755,0.029759291812256897,-0.3012203747591947,0.029704610896301917,-0.0018032028910695875
A_h_28_deg,28.00044744804333,0.03206201328577444,-0.5125641107935551,0.031732626680310516,-0.0045840047889614596
A_h_30_deg,30.0000701530499,0.03385335667788599,-0.42395198705998877,0.033655588510126386,-0.0036539184989839474
A_h_32_deg,31.999692858056477,0.03630963127430045,-0.5330669098044468,0.03615029934603928,-0.0033978199580628125
A_h_34_deg,33.99931556306305,0.03817565399560332,-0.47944042831126255,0.0381067407273462,-0.0022927863247232884
A_h_36_deg,35.99893826806962,0.040259459749310306,-0.6312563230493068,0.04012649800443121,-0.0032692900156938475
A_h_38_deg,37.998560973076195,0.04218345868378518,-0.515065622546801,0.04179211925216064,-0.005732621995195189
A_h_40_deg,39.998183678082775,0.043685362808702034,-0.45936101405695834,0.04358528746675951,-0.0029552732814179397
A_h_42_deg,41.99780638308934,0.046591278906592974,-0.5463937805718155,0.04637178959450687,-0.004517122973167728
A_h_44_deg,43.99742908809592,0.0470866152108727,-0.6449752023767975,0.04654867626203732,-0.007097187490043612
A_h_46_deg,46.00278137105379,0.050491007284856455,-0.5319805000591541,0.050202925090016816,-0.0053859195171843685
A_h_48_deg,48.00240407606037,0.05233412513398628,-0.5674056229042123,0.052189673603345574,-0.0038856946246441553
A_h_50_deg,50.002026781066945,0.05347744568080131,-0.6891581301632511,0.052991218764807224,-0.007194993423443639
A_h_52_deg,52.00164948607351,0.056110917705207215,-0.7035035430259827,0.055611248703462096,-0.007471552941806769
A_h_54_deg,54.00127219108009,0.0597829046736966,-0.8910372692207716,0.057715046265686624,-0.015587466945400284
A_h_56_deg,56.00089489608666,0.05928980585606094,-0.8174160369612894,0.05779282121773399,-0.013238991432297021
A_h_58_deg,58.000517601093236,0.06116712389092463,-0.7576278990707596,0.06006655079594145,-0.01155103980455043
A_h_60_deg,60.0001403060998,0.06469079278132979,-1.0277378612952497,0.06163087914431353,-0.019660452857855795
