time,motor_with_onshape_mounting_x,motor_with_onshape_mounting_y,motor_with_onshape_mounting_2_x,motor_with_onshape_mounting_2_y,motor_with_onshape_mounting_3_x,motor_with_onshape_mounting_3_y,motor_with_onshape_mounting_4_x,motor_with_onshape_mounting_4_y,motor_with_onshape_mounting_5_x,motor_with_onshape_mounting_5_y,motor_with_onshape_mounting_6_x,motor_with_onshape_mounting_6_y,motor_with_no_arms_x,motor_with_no_arms_y,com_x,com_y
0.000000,,,,,,,,,,,,,,,,
0.024000,,,,,,,,,,,,,,,,
0.074000,,,,,,,,,,,,,,,-0.004345024520805128,0.36088546627885576
0.124000,,,,,,,,,,,,,,,-0.0044342968710242014,0.3610340542410432
0.174000,,,,,,,,,,,,,,,-0.004461768559127201,0.36130094268731205
0.224000,,,,,,,,,,,,,,,-0.004755249224793489,0.36128941541327403
0.274000,,,,,,,,,,,,,,,-0.0035351966669393622,0.3612968102094602
0.471000,,,,,,,,,,,,,,,-0.0024670343569388395,0.36140325242925553
0.575000,,,,,,,,,,,,,,,-0.003481297533965793,0.3613302874527502
0.624000,-0.014051522485599526,0.007911556674156214,0.0047365959920508075,0.11195839582239143,-0.01668601725551076,0.23003071109280762,0.013806039687944546,0.3460920502908033,-0.013398385603003521,0.46296770743286003,0.020330307284218085,0.5781300939453056,-0.007523168213608208,0.6948527733611344,-0.002882571139043893,0.3611234464719464
0.674000,-0.012668325805508333,0.007266049901353598,0.004544831198750496,0.11149458355413046,-0.01570202525589749,0.22977418789467513,0.013751881688707559,0.34610332167068847,-0.01299749524621175,0.463083964654244,0.020464308134962042,0.5783241820866959,-0.007738892189405607,0.6949628527354866,-0.0018511188709784375,0.361078876435498
0.724000,-0.011013799729480323,0.006384717351459964,0.004577651792189868,0.11097010119558201,-0.014553531389867432,0.22943527679600467,0.013663452126205563,0.34607061381375015,-0.012652150672646781,0.4631496001832425,0.020316747730711474,0.5785317987151355,-0.008234663650228274,0.6950857214639112,-0.002374097438263849,0.3608019194500309
