run_name,delta_phi_vh_deg,distance_first_to_last,distance_consecutive_sum,orientation_change_rad,skip_cycles
phi_vh_0_deg,0.0,0.16612911180142417,0.17072817198744905,-0.78435227365996,10.0
phi_vh_5_deg,5.001921551492087,0.19475934053734928,0.19842673272849007,-0.7111047605313395,10.0
phi_vh_10_deg,9.998113525032865,0.19141054371300567,0.1933830660169792,-0.6143908196513291,10.0
phi_vh_15_deg,15.00003507652495,0.24082732817342245,0.2435085303350692,-0.6070161923889509,10.0
phi_vh_20_deg,20.00195662801704,0.25406070182847296,0.2559600883323401,-0.48319808932217273,10.0
phi_vh_25_deg,24.99814860155782,0.26592200528300647,0.2678834669075011,-0.4517785797316994,10.0
phi_vh_30_deg,30.0000701530499,0.2774149543438576,0.27825289641137874,-0.3898329508515641,10.0
phi_vh_35_deg,35.00199170454199,0.2757452678322594,0.2771887517498061,-0.3106402425457937,10.0
phi_vh_40_deg,39.998183678082775,0.3024008719629925,0.3029449193738637,-0.22762238523330247,10.0
phi_vh_45_deg,45.00010522957486,0.2945914202766159,0.29497054548971796,-0.11621476794245833,10.0
phi_vh_50_deg,50.002026781066945,0.31165548809904436,0.31174295888173964,-0.06408951462106183,10.0
phi_vh_55_deg,54.99821875460772,0.32363361214685754,0.324159600452557,0.07243211342460909,10.0
phi_vh_60_deg,60.0001403060998,0.3209947949042679,0.3210371806998334,0.06611412385707971,10.0
phi_vh_65_deg,65.0020618575919,0.307636174802665,0.30809004764405473,0.1861575134014346,10.0
phi_vh_70_deg,69.99825383113267,0.27732750144186347,0.2782196127511227,0.2522671437001671,10.0
phi_vh_75_deg,75.00017538262476,0.285738317992237,0.2870834284690372,0.3420211496890482,10.0
phi_vh_80_deg,80.00209693411685,0.28090280409877544,0.28362044826770744,0.4322265005622734,10.0
phi_vh_85_deg,84.99828890765762,0.2566071634362828,0.25906074343928337,0.5457163513875187,10.0
phi_vh_90_deg,90.00021045914971,0.2534579807531285,0.2564379869376593,0.5655810666507497,10.0
phi_vh_95_deg,95.00213201064179,0.2388726956098711,0.24461553197147307,0.7643663276949888,10.0
phi_vh_100_deg,99.99832398418258,0.2172654158550019,0.22233205279759446,0.7234357683276449,10.0
phi_vh_105_deg,105.00024553567467,0.17484013417899516,0.17895767537677582,0.8237032751876621,10.0
phi_vh_110_deg,110.00216708716675,0.16737090528909726,0.17070372478074874,0.8357895184560955,10.0
phi_vh_115_deg,114.99835906070753,0.14446150819456488,0.14864143635615623,0.8507007325727169,10.0
phi_vh_120_deg,120.0002806121996,0.1265983061641541,0.131191992953497,0.8445293095054462,10.0
phi_vh_125_deg,125.00220216369172,0.09614391236806742,0.09757357017347194,0.8285178211507827,10.0
phi_vh_130_deg,129.99839413723248,0.057097695410716034,0.08034886552120246,0.9114939243937942,10.0
phi_vh_135_deg,135.00031568872456,0.048032581970763495,0.05155495930746762,0.8806060491639349,10.0
phi_vh_140_deg,140.00223724021663,0.03438961367264738,0.036603424810550594,0.8469373113940741,10.0
phi_vh_145_deg,144.99842921375742,0.013151260531171665,0.01759741180513308,0.9125074569109156,10.0
phi_vh_150_deg,150.00035076524952,0.0615490103736142,0.0641655437942816,0.9540253794549107,10.0
phi_vh_155_deg,155.0022723167416,0.06886427862038967,0.07009931479904674,0.8516112999969981,10.0
phi_vh_160_deg,159.99846429028239,0.08117902225067193,0.08193157100889076,0.8728675267439217,10.0
phi_vh_165_deg,165.00038584177446,0.07405849635476972,0.0772465492524419,0.8018758112128292,10.0
phi_vh_170_deg,170.00230739326656,0.11628657489304553,0.11939226184587509,0.8404269094634234,10.0
phi_vh_175_deg,174.99849936680735,0.14465786777360298,0.14804050171514646,0.7242588110569274,10.0
phi_vh_180_deg,180.00042091829943,0.16640904178343266,0.1694485952350538,0.685599106680273,10.0
phi_vh_185_deg,185.0023424697915,0.19759570262919196,0.2005277729558031,0.6708502715300134,10.0
phi_vh_190_deg,189.9985344433323,0.21960565389634273,0.22180756521871287,0.5932767570647479,10.0
phi_vh_195_deg,195.00045599482436,0.22083834271655456,0.2226904946400637,0.4773586853852026,10.0
phi_vh_200_deg,200.00237754631647,0.24806300826005662,0.25034363752878674,0.4410907170154994,10.0
phi_vh_205_deg,204.99856951985726,0.25730473469057,0.25888424000735066,0.3951938250520364,10.0
phi_vh_210_deg,210.00049107134933,0.27605316517434186,0.2776110661982556,0.3833893213326252,10.0
phi_vh_215_deg,215.0024126228414,0.28186663112296834,0.2828316416022445,0.29209596741312094,10.0
phi_vh_220_deg,219.9986045963822,0.2977534589994845,0.2987296081019113,0.2728435117201332,10.0
phi_vh_225_deg,225.0005261478743,0.3069446652547272,0.3072981196402195,0.15433774935265077,10.0
phi_vh_230_deg,230.0024476993664,0.3191557069391226,0.3192039366320101,0.06414920000031432,10.0
phi_vh_235_deg,234.99863967290713,0.32195893447758217,0.32213376950297934,-0.03131482535966268,10.0
phi_vh_240_deg,240.0005612243992,0.31513765699708474,0.3152652337021833,-0.08580302910115445,10.0
phi_vh_245_deg,245.0024827758913,0.30784620520762757,0.3081828471531459,-0.17578753725894591,10.0
phi_vh_250_deg,249.9986747494321,0.29275210994304485,0.294281662053029,-0.24736666506432092,10.0
phi_vh_255_deg,255.00059630092417,0.27992454248160364,0.2814693646212287,-0.3783253704282168,10.0
phi_vh_260_deg,260.00251785241625,0.26432695067251955,0.2659963858578448,-0.44143879364721084,10.0
phi_vh_265_deg,264.99870982595706,0.22561925974892758,0.2281000652497514,-0.5169262789430888,10.0
phi_vh_270_deg,270.0006313774491,0.2484433932668053,0.25217889654273845,-0.6471990275657649,10.0
phi_vh_275_deg,275.0025529289412,0.23678038563150303,0.24139140457588765,-0.669787640655627,10.0
phi_vh_280_deg,279.998744902482,0.22697709327335874,0.23252118632542426,-0.7202257728085417,10.0
phi_vh_285_deg,285.0006664539741,0.17855707055612588,0.18243606025040268,-0.7566595691378635,10.0
phi_vh_290_deg,290.0025880054662,0.1366639138138874,0.13983583433083357,-0.8199956322772313,10.0
phi_vh_295_deg,294.99877997900694,0.16556640490793667,0.17203404529724617,-0.8189233734825125,10.0
phi_vh_300_deg,300.00070153049904,0.09595705526027494,0.10212434527540083,-0.8689549222014803,10.0
phi_vh_305_deg,305.0026230819911,0.08925679295920518,0.09312040447271919,-0.9210004774403018,10.0
phi_vh_310_deg,309.9988150555319,0.06804366651547586,0.07024981571455043,-0.8744060124784807,10.0
phi_vh_315_deg,315.000736607024,0.06159741905364559,0.06326751165313105,-0.8516911648704824,10.0
phi_vh_320_deg,320.00265815851606,0.03397994956758583,0.03822864175049676,-0.8834857938682816,10.0
phi_vh_325_deg,324.9988501320569,0.029406877283853564,0.0441348857883774,-0.8498185557828126,10.0
phi_vh_330_deg,330.0007716835489,0.04443884144334681,0.04687709451263586,-0.8964217697747823,10.0
phi_vh_335_deg,335.002693235041,0.04918258039759051,0.04984201638710609,-0.8704204656687526,10.0
phi_vh_340_deg,339.9988852085818,0.08230773154919913,0.08300222883739167,-0.8016291457137614,10.0
phi_vh_345_deg,345.0008067600739,0.10881756409520973,0.1111972601679732,-0.8095346629782996,10.0
phi_vh_350_deg,350.002728311566,0.1336268320227763,0.13668508402801896,-0.8043545141814343,10.0
phi_vh_355_deg,354.99892028510675,0.14197773913299494,0.14682274655552952,-0.7832870192325627,10.0
phi_vh_360_deg,360.00084183659885,0.18705136226812485,0.19026397887731722,-0.6976757641485594,10.0
phi_vh_0_deg,0.0,0.15717605437057858,0.16197425505995364,-0.7828292009399753,10.1
phi_vh_5_deg,5.001921551492087,0.1861850865410963,0.19007202872687898,-0.7124705537526503,10.1
phi_vh_10_deg,9.998113525032865,0.1823029657695155,0.1841230939621429,-0.6122138719740498,10.1
phi_vh_15_deg,15.00003507652495,0.23387265270512206,0.23671867023429458,-0.608468839439149,10.1
phi_vh_20_deg,20.00195662801704,0.24397315989695892,0.24601908385916801,-0.48217115792464393,10.1
phi_vh_25_deg,24.99814860155782,0.2570646038004563,0.25926218408559665,-0.45526239051184836,10.1
phi_vh_30_deg,30.0000701530499,0.26496330114554717,0.2658324077511785,-0.38895545459977837,10.1
phi_vh_35_deg,35.00199170454199,0.27545710423520786,0.27693577430829486,-0.31103443791409124,10.1
phi_vh_40_deg,39.998183678082775,0.2968125797502549,0.2975068956731485,-0.22803972033012254,10.1
phi_vh_45_deg,45.00010522957486,0.2888246031041448,0.2893628989294871,-0.11713478693702739,10.1
phi_vh_50_deg,50.002026781066945,0.3126319801483781,0.3127430588031401,-0.06271562178865331,10.1
phi_vh_55_deg,54.99821875460772,0.3161912518831974,0.3165992948461028,0.0727829160158846,10.1
phi_vh_60_deg,60.0001403060998,0.3189238798255385,0.31896447112331094,0.0663373688857869,10.1
phi_vh_65_deg,65.0020618575919,0.30808624853080613,0.30853021283683524,0.1841830619099325,10.1
phi_vh_70_deg,69.99825383113267,0.2831369325713955,0.28389077929628787,0.2518491025060814,10.1
phi_vh_75_deg,75.00017538262476,0.28385304277897916,0.28502643835432895,0.34172430546871757,10.1
phi_vh_80_deg,80.00209693411685,0.27451656094829063,0.27686222931665044,0.4326138208204111,10.1
phi_vh_85_deg,84.99828890765762,0.2573089180740558,0.25983162564117623,0.546173433142044,10.1
phi_vh_90_deg,90.00021045914971,0.2533181816849513,0.2563197885632845,0.5678906243483084,10.1
phi_vh_95_deg,95.00213201064179,0.2385180635940378,0.2441343155457219,0.7648600389444011,10.1
phi_vh_100_deg,99.99832398418258,0.21663760703540463,0.22153893598726687,0.722658393416074,10.1
phi_vh_105_deg,105.00024553567467,0.17346519463637802,0.17729534317780588,0.8244542405207387,10.1
phi_vh_110_deg,110.00216708716675,0.1672060407189637,0.17041927515749172,0.836233181276635,10.1
phi_vh_115_deg,114.99835906070753,0.14335946059765894,0.1472735119353206,0.8487969564893136,10.1
phi_vh_120_deg,120.0002806121996,0.12747497246195755,0.13170591212110513,0.83387291716853,10.1
phi_vh_125_deg,125.00220216369172,0.09560722167546132,0.09702059691721542,0.8270436456399635,10.1
phi_vh_130_deg,129.99839413723248,0.060128192420915924,0.08053619184518515,0.9134763339125599,10.1
phi_vh_135_deg,135.00031568872456,0.04989664927162352,0.053598459660419207,0.87923648417949,10.1
phi_vh_140_deg,140.00223724021663,0.03795548007321605,0.03859775556335862,0.8468977312402759,10.1
phi_vh_145_deg,144.99842921375742,0.013703842581893362,0.01939651265928662,0.9101383993602916,10.1
phi_vh_150_deg,150.00035076524952,0.055984796207445404,0.057300851972283934,0.9458196368972183,10.1
phi_vh_155_deg,155.0022723167416,0.05953689823760342,0.06064410749845191,0.8496272995300995,10.1
phi_vh_160_deg,159.99846429028239,0.07808921167689967,0.07889906272786791,0.8740807171585097,10.1
phi_vh_165_deg,165.00038584177446,0.07059857690181162,0.07794863559298226,0.7998153472167966,10.1
phi_vh_170_deg,170.00230739326656,0.11541523445506995,0.11845174824066615,0.8387599605695928,10.1
phi_vh_175_deg,174.99849936680735,0.12071253977112865,0.12367442951879191,0.7167827815543538,10.1
phi_vh_180_deg,180.00042091829943,0.16621553232662825,0.16928067426617857,0.6823996535871407,10.1
phi_vh_185_deg,185.0023424697915,0.19057397345032456,0.1937936177543667,0.6726028297298262,10.1
phi_vh_190_deg,189.9985344433323,0.21201562143791158,0.21450459405154498,0.5979603527169801,10.1
phi_vh_195_deg,195.00045599482436,0.2206849430585159,0.22251104112690331,0.4786803596331253,10.1
phi_vh_200_deg,200.00237754631647,0.247457525714402,0.2497281054374041,0.44232151842878187,10.1
phi_vh_205_deg,204.99856951985726,0.255995775559285,0.2576736431400563,0.39498059311335654,10.1
phi_vh_210_deg,210.00049107134933,0.27414724584016875,0.2758871968108003,0.38714606001454144,10.1
phi_vh_215_deg,215.0024126228414,0.28168745625635316,0.28264374746528587,0.2920771064717501,10.1
phi_vh_220_deg,219.9986045963822,0.292487933063713,0.29360905262009407,0.2734617010638809,10.1
phi_vh_225_deg,225.0005261478743,0.3077550265976144,0.3081275243925415,0.15393631841904165,10.1
phi_vh_230_deg,230.0024476993664,0.3148298868224549,0.314876728215405,0.067108975852612,10.1
phi_vh_235_deg,234.99863967290713,0.31444306124321875,0.31455423640828656,-0.030991938790812412,10.1
phi_vh_240_deg,240.0005612243992,0.3115954123780287,0.31165967448515125,-0.08457435139290226,10.1
phi_vh_245_deg,245.0024827758913,0.3080208921945141,0.30833978087816405,-0.17551245890592915,10.1
phi_vh_250_deg,249.9986747494321,0.2849100872777095,0.28607804216758725,-0.24557906713151478,10.1
phi_vh_255_deg,255.00059630092417,0.2786585360427965,0.28018573009145203,-0.37804398010809503,10.1
phi_vh_260_deg,260.00251785241625,0.2641536068921718,0.26588449950379844,-0.4443171931099683,10.1
phi_vh_265_deg,264.99870982595706,0.23331818321550676,0.235584200330455,-0.514684526092267,10.1
phi_vh_270_deg,270.0006313774491,0.24759585808418175,0.2512495707982134,-0.6516004293348381,10.1
phi_vh_275_deg,275.0025529289412,0.23590262548601312,0.2404475423327177,-0.6685743093209318,10.1
phi_vh_280_deg,279.998744902482,0.22491610464470013,0.23030124099285473,-0.7164253624261909,10.1
phi_vh_285_deg,285.0006664539741,0.18000855339525934,0.18371689968185914,-0.753294465501122,10.1
phi_vh_290_deg,290.0025880054662,0.1347669341346246,0.13720190669188648,-0.8168798644980284,10.1
phi_vh_295_deg,294.99877997900694,0.16201029133825529,0.16807660299342184,-0.8186539847830577,10.1
phi_vh_300_deg,300.00070153049904,0.09594666245359558,0.10068366225364131,-0.8649851356407456,10.1
phi_vh_305_deg,305.0026230819911,0.08589326288424631,0.08873225875298144,-0.9110345965108677,10.1
phi_vh_310_deg,309.9988150555319,0.06766886633804527,0.06937847463579522,-0.8731454056662243,10.1
phi_vh_315_deg,315.000736607024,0.061958010310458,0.06343197542900246,-0.8515465523865716,10.1
phi_vh_320_deg,320.00265815851606,0.03353202996093476,0.03913384331984994,-0.8811847780262303,10.1
phi_vh_325_deg,324.9988501320569,0.025263274128029034,0.03869371186315611,-0.8478193458256453,10.1
phi_vh_330_deg,330.0007716835489,0.03907191846042275,0.04170377287400358,-0.8947905596319357,10.1
phi_vh_335_deg,335.002693235041,0.04622502921740641,0.047243865943257836,-0.8710940890445742,10.1
phi_vh_340_deg,339.9988852085818,0.07135032378004663,0.07242692114022319,-0.7997126945592218,10.1
phi_vh_345_deg,345.0008067600739,0.10557022859751092,0.10810463923925243,-0.8105045853483654,10.1
phi_vh_350_deg,350.002728311566,0.12906362432917312,0.1322328669389772,-0.8021711931028052,10.1
phi_vh_355_deg,354.99892028510675,0.13425567061858035,0.13916307274280054,-0.7821057107778937,10.1
phi_vh_360_deg,360.00084183659885,0.18097174587101514,0.18410189836779933,-0.6977253797733282,10.1
phi_vh_0_deg,0.0,0.1509339762135511,0.1556087811665163,-0.7808106380957709,10.2
phi_vh_5_deg,5.001921551492087,0.17754545950275977,0.18144301510488173,-0.7142128873964297,10.2
phi_vh_10_deg,9.998113525032865,0.1802249508281611,0.18192977916734585,-0.6097049147702154,10.2
phi_vh_15_deg,15.00003507652495,0.22794414851995418,0.23084528840867066,-0.6094973424757255,10.2
phi_vh_20_deg,20.00195662801704,0.2346498876089523,0.2367464687471025,-0.48158732385417524,10.2
phi_vh_25_deg,24.99814860155782,0.25017852943650165,0.25242384225187803,-0.4589779504331953,10.2
phi_vh_30_deg,30.0000701530499,0.2554126030771731,0.25622492428665294,-0.38725254953470895,10.2
phi_vh_35_deg,35.00199170454199,0.27505983340112294,0.27652464286170836,-0.31113883842746515,10.2
phi_vh_40_deg,39.998183678082775,0.29308814733036437,0.2938363025362647,-0.22840527161103086,10.2
phi_vh_45_deg,45.00010522957486,0.28356962125776886,0.2842299584690518,-0.11812698513851538,10.2
phi_vh_50_deg,50.002026781066945,0.31334706206803287,0.31347841848424074,-0.06060608122229216,10.2
phi_vh_55_deg,54.99821875460772,0.3103767415256758,0.31082789232029456,0.07282714189745376,10.2
phi_vh_60_deg,60.0001403060998,0.31784567669223,0.3178926931718222,0.06684369453452765,10.2
phi_vh_65_deg,65.0020618575919,0.3080398625463581,0.3084653486469425,0.18175919220812542,10.2
phi_vh_70_deg,69.99825383113267,0.28868057791894464,0.2893663983488176,0.25173426269887766,10.2
phi_vh_75_deg,75.00017538262476,0.2828187653486258,0.28395115991982994,0.3409812091215372,10.2
phi_vh_80_deg,80.00209693411685,0.2717880645546307,0.2741085815026966,0.43336641759372707,10.2
phi_vh_85_deg,84.99828890765762,0.25760719550761796,0.2602259206454569,0.5470790440197071,10.2
phi_vh_90_deg,90.00021045914971,0.253409524451375,0.2564486933138116,0.5694898322620183,10.2
phi_vh_95_deg,95.00213201064179,0.2387163955957797,0.2443603129111317,0.7651102240650927,10.2
phi_vh_100_deg,99.99832398418258,0.2168845674142622,0.2217537709100019,0.7224773264077848,10.2
phi_vh_105_deg,105.00024553567467,0.17698827903920009,0.1808954525174045,0.8246705455714345,10.2
phi_vh_110_deg,110.00216708716675,0.16708033088310256,0.17028453589349846,0.8363325991296668,10.2
phi_vh_115_deg,114.99835906070753,0.1447285837175692,0.14839896749613807,0.8476790573472717,10.2
phi_vh_120_deg,120.0002806121996,0.12914041226747708,0.1327775773159379,0.8230525070502575,10.2
phi_vh_125_deg,125.00220216369172,0.09581993181197578,0.09720648948411724,0.8253000113582658,10.2
phi_vh_130_deg,129.99839413723248,0.06794353876641426,0.0757110993648721,0.9150566356194034,10.2
phi_vh_135_deg,135.00031568872456,0.052680132680357775,0.05634986313239568,0.8786711948809134,10.2
phi_vh_140_deg,140.00223724021663,0.03925748083904196,0.04007451163034481,0.8463489883695084,10.2
