frame,x,y
motor_with_onshape_mounting,-0.02360335133815339,-1.09111812050715
motor_with_onshape_mounting_2,-0.07761279829581877,-1.1816152526258017
motor_with_onshape_mounting_3,-0.13135019777680143,-1.2889106015325404
motor_with_onshape_mounting_4,-0.13562679339734246,-1.4088343720281111
motor_with_onshape_mounting_5,-0.08130061296029531,-1.5158328118251148
motor_with_onshape_mounting_6,-0.002396327973245283,-1.6062436176532877
motor_with_no_arms,0.05967016583177946,-1.7089458588489177
