time,motor_with_onshape_mounting_x,motor_with_onshape_mounting_y,motor_with_onshape_mounting_2_x,motor_with_onshape_mounting_2_y,motor_with_onshape_mounting_3_x,motor_with_onshape_mounting_3_y,motor_with_onshape_mounting_4_x,motor_with_onshape_mounting_4_y,motor_with_onshape_mounting_5_x,motor_with_onshape_mounting_5_y,motor_with_onshape_mounting_6_x,motor_with_onshape_mounting_6_y,motor_with_no_arms_x,motor_with_no_arms_y,com_x,com_y
0.000000,,,,,,,,,,,,,,,,
0.028000,,,,,,,,,,,,,,,,
0.078000,2.764557987251823e-08,1.2720126216140011e-05,,,,,,,,,,,,,7.366095595340879e-07,0.36168373338322957
0.128000,2.7644573372948676e-08,1.2712814395538787e-05,1.5569274023169362e-08,0.10537454107432775,3.341468808165689e-07,0.22537453578019712,6.527244842678455e-07,0.3453745304860666,9.713020850071216e-07,0.4653745251919361,1.289879683933555e-06,0.5853745198978055,1.6084572818010595e-06,0.7053745146036748,7.389325024181339e-07,0.36168030293171594
0.178000,2.7642611240164496e-08,1.2711005485995761e-05,2.0407230837648718e-08,0.10536742387980882,3.389844292269651e-07,0.22536742196750645,6.575616250194654e-07,0.3453674200552041,9.76138818642321e-07,0.46536741814290183,1.2947160109588016e-06,0.5853674162305993,1.613293202510796e-06,0.7053674143182967,7.410834425248511e-07,0.36167716123394805
0.228000,2.764160302379609e-08,1.2711381444178936e-05,2.325200567214311e-08,0.10536326871224544,3.41829059986947e-07,0.22536326799545023,6.604061122958314e-07,0.34536326727865496,9.78983162914038e-07,0.4653632665618599,1.2975602125620747e-06,0.5853632658450646,1.6161372616408696e-06,0.7053632651282693,7.419260640186355e-07,0.3616759329139584
0.278000,2.764055649317911e-08,1.2712263874977749e-05,2.5074734357191374e-08,0.10536061170363371,3.4365173728917523e-07,0.22536061144985017,6.622287386690621e-07,0.34536061119606665,9.808057387374526e-07,0.4653606109422832,1.2993827380816271e-06,0.5853606106884998,1.6179597370027638e-06,0.705360610434716,7.427114686866642e-07,0.3616747900515139
0.328000,2.7640001503624196e-08,1.2712780522152828e-05,2.6112537157060173e-08,0.10535910240370544,3.446895188922688e-07,0.22535910230813797,6.632664994291364e-07,0.34535910221257043,9.81843478959435e-07,0.46535910211700315,1.300420457940591e-06,0.5853591020214355,1.6189974366088563e-06,0.7053591019258679,7.430921738471665e-07,0.3616743048038024
0.378000,2.7639615014364307e-08,1.271329125022522e-05,2.6817697441594905e-08,0.10535818837503294,3.4539467327179785e-07,0.22535818833835103,6.639716481798052e-07,0.3453581883016691,9.825486223201695e-07,0.46535818826498737,1.3011255960533684e-06,0.5853581882283053,1.6197025695754003e-06,0.7053581881916233,7.43352654190366e-07,0.3616738980019559
0.428000,2.7639484884754913e-08,1.2713475529650079e-05,2.71863203983081e-08,0.10535761278173691,3.457632929945346e-07,0.22535761276783928,6.643402648783138e-07,0.34535761275394167,9.82917236168031e-07,0.4653576127400443,1.3014942071416004e-06,0.5853576127261466,1.6200711779555018e-06,0.705357612712249,7.43438347674223e-07,0.36167376438976057
0.478000,2.7639291822243943e-08,1.2713759365381134e-05,2.738803944256525e-08,0.105357298428546,3.4596501089634347e-07,0.22535729842242583,6.645419817996946e-07,0.3453572984163056,9.831189522432072e-07,0.46535729841018547,1.301695922441558e-06,0.5853572984040653,1.6202728925210647e-06,0.705357298397945,7.435637531737535e-07,0.36167356956196917
0.528000,2.7639291822243943e-08,1.2713759365381134e-05,2.7545477964765676e-08,0.1053570541277034,3.461224487277998e-07,0.2253570541253509,6.646994190656544e-07,0.34535705412299844,9.83276389047449e-07,0.4653570541206461,1.3018533588391725e-06,0.5853570541182934,1.6204303285439858e-06,0.7053570541159409,7.435637538098631e-07,0.3616735695619859
0.578000,2.7639227419600994e-08,1.2713856567547941e-05,2.762398535513336e-08,0.10535693269276104,3.46200955857701e-07,0.22535693269154047,6.647779260319762e-07,0.34535693269032,9.833548959305406e-07,0.4653569326890995,1.3019318656817964e-06,0.585356932687879,1.6205088353710188e-06,0.7053569326866582,7.436051753270949e-07,0.36167350549238025
0.628000,2.7639163011630354e-08,1.2713955030522918e-05,2.766311454807373e-08,0.10535687227981386,3.4624008490098624e-07,0.2253568722789733,6.648170550005828e-07,0.34535687227813266,9.833940248866844e-07,0.46535687227729217,1.30197099465864e-06,0.5853568722764516,1.620547964387883e-06,0.7053568722756108,7.436464652378642e-07,0.3616734417436262
0.678000,2.7639163011630354e-08,1.2713955030522918e-05,2.7702243810255386e-08,0.10535681186675969,3.4627921407247877e-07,0.22535681186617712,6.64856184139403e-07,0.34535681186559464,9.83433154041007e-07,0.46535681186501215,1.3020101238541709e-06,0.5853568118644294,1.620587093639603e-06,0.7053568118638469,7.436464655372092e-07,0.3616734417436272
0.728000,2.7639163011630354e-08,1.2713955030522918e-05,2.7702243810255386e-08,0.10535681186675969,3.4627921412459924e-07,0.22535681186617712,6.648561842880113e-07,0.34535681186559464,9.834331543230045e-07,0.46535681186501215,1.3020101242892345e-06,0.5853568118644294,1.6205870942392485e-06,0.7053568118638469,7.436464657663197e-07,0.36167344174362775
0.778000,2.7639163011630354e-08,1.2713955030522918e-05,2.7702243810255386e-08,0.10535681186675969,3.4627921412459924e-07,0.22535681186617712,6.648561842880113e-07,0.34535681186559464,9.834331543230045e-07,0.46535681186501215,1.3020101242892345e-06,0.5853568118644294,1.6205870942392485e-06,0.7053568118638469,7.436464657663197e-07,0.36167344174362775
0.828000,-0.015939410974150383,0.0013419969216696237,2.7702243810255386e-08,0.10535681186675969,3.462792141971098e-07,0.22535681186617712,6.64856184494808e-07,0.34535681186559464,9.834331547153976e-07,0.46535681186501215,1.3020101248946496e-06,0.5853568118644294,1.6205870950736708e-06,0.7053568118638469,0.038374421712871254,0.3589019244858291
0.878000,-0.05364004985461905,0.013769463771240676,-0.00143602812840923,0.10601220324735981,0.01414419135908079,0.2249964735613515,0.00968645568978423,0.3449136474406761,-0.004446457616731823,0.464078494156409,-0.010758660629476818,0.5839123628517194,0.0031079671706611793,0.7031084889910069,0.02362880629974263,0.3607132499735774
0.928000,-0.06923743958158521,0.021958751565644873,-0.006252344200489375,0.10774676237401556,0.021933908952534387,0.22438950097383428,0.014093881988430895,0.3441331147054272,-0.009705400127414249,0.4617493878409283,-0.01847245316691929,0.5814286995340197,0.008939238424108181,0.6982558919543109,0.015176336801891926,0.3610370669644773
