time,motor_with_onshape_mounting_x,motor_with_onshape_mounting_y,motor_with_onshape_mounting_2_x,motor_with_onshape_mounting_2_y,motor_with_onshape_mounting_3_x,motor_with_onshape_mounting_3_y,motor_with_onshape_mounting_4_x,motor_with_onshape_mounting_4_y,motor_with_onshape_mounting_5_x,motor_with_onshape_mounting_5_y,motor_with_onshape_mounting_6_x,motor_with_onshape_mounting_6_y,motor_with_no_arms_x,motor_with_no_arms_y,com_x,com_y
0.000000,,,,,,,,,,,,,,,,
0.039000,,,,,,,,,,,,,,,,
0.089000,,,,,,,,,,,,,,,,
0.139000,,,,,,,,,,,,,,,,
0.189000,,,,,,,,,,,,,,,,
0.239000,,,,,,,,,,,,,,,,
0.289000,,,,,,,,,,,,,,,,
0.339000,,,,,,,,,,,,,,,,
0.389000,,,,,,,,,,,,,,,,
0.439000,,,,,,,,,,,,,,,,
0.489000,,,,,,,,,,,,,,,,
0.539000,,,,,,,,,,,,,,,,
0.589000,,,,,,,,,,,,,,,,
0.639000,,,,,,,,,,,,,,,,
0.689000,,,,,,,,,,,,,,,,
0.739000,,,,,,,,,,,,,,,,
0.789000,,,,,,,,,,,,,,,,
0.839000,-0.019249786996414442,0.008092011599394862,,,,,,,,,,,,,0.0052053188896548225,0.3607828682344924
0.889000,-0.01892312829234096,0.00784806328578183,0.0013404639848912277,0.11135504559321419,-0.012122640899471886,0.23059742399482375,0.019874158845086462,0.3462529677707562,-0.0023621443116386386,0.4641747504146859,0.03809215219634432,0.5771501897545894,0.007204282284531113,0.6931068173888513,0.005338172744658087,0.3608541117413193
0.939000,-0.018114750015926724,0.00735803303496118,0.0014586000048438554,0.11111201476852027,-0.011662159958948558,0.23039254820864938,0.019670031398192744,0.346229907400882,-0.002031083502431589,0.46425135295927805,0.03758518605575631,0.5775233759218232,0.0074171555681513575,0.6936693613708003,0.005185903544890357,0.3607764525393595
0.989000,-0.017672588538875853,0.007011253077690238,0.0015919038027296592,0.11077783723698027,-0.011100582585323652,0.23010470256603793,0.019448138089371847,0.3461511401034012,-0.0015927426166430503,0.4642920785585326,0.037029864174121664,0.577906752983252,0.007744596809982223,0.6942784553654089,0.005456260360112847,0.36084823029185614
1.039000,-0.016935686830926524,0.0064477608921952876,0.001634486669519604,0.11043118838172988,-0.010551809313321867,0.22981081055490565,0.019154278935990095,0.34607580236635627,-0.0011224150769761666,0.46435029530498095,0.03642163124853948,0.5783259268473994,0.008148555948290184,0.6949476795912221,0.005783156066686435,0.36092575137811184
1.089000,-0.01637884721621757,0.006068794837389611,0.0016848685322244476,0.11006220709376047,-0.009912525105250465,0.22950047759704031,0.018831308534086426,0.3460070955537542,-0.0005595332474502487,0.4644300462643243,0.03574899943579602,0.5788052640974934,0.008648031499853364,0.695704954160926,0.005584602302597684,0.36090638614620835
1.139000,-0.015467064315775488,0.00552472199986736,0.0017425742936763543,0.10970805250611565,-0.009242708735377825,0.22920417611173968,0.018443067688977043,0.3459667462435238,-1.5255716810651243e-05,0.46453862443158955,0.03493915814997266,0.5793349177133329,0.009080633928711473,0.6965157042147706,0.005305398877878297,0.36093736232069856
1.189000,-0.014810594649003339,0.005186951324703019,0.0018056700263660505,0.10938380284113706,-0.00847664423911789,0.22894246632206378,0.018044658627048387,0.34597502800589947,0.0006477673951078809,0.46470728215557594,0.03410392885905818,0.5799491376599785,0.009654610291715583,0.6974320335282347,0.005767969722072065,0.3611475065098162
1.239000,-0.013886350584640278,0.0045693469419615185,0.0018733853893609133,0.10909454474407855,-0.0076853099324326185,0.22871323619213357,0.01759169541385774,0.346020836119519,0.0012968313597435145,0.46490934441808285,0.03315441758273155,0.5806033122817736,0.010175520982674342,0.698382641160162,0.005622259529104825,0.36112617526189256
1.289000,-0.013427634406325769,0.00403230369312297,0.0018336505045049144,0.10861498665172299,-0.006774596898205197,0.22830583039740424,0.01729373302424208,0.3458673695784978,0.0023636204672435965,0.46493496273020035,0.032619374544661836,0.5810581272801263,0.011409435371141247,0.699168831622132,0.0064637533402906455,0.3611202921863813
1.339000,-0.012597669214225473,0.0031399578403374984,0.0018407074987153802,0.10802808583714178,-0.005663261701202364,0.22779323282322392,0.017268402380304367,0.3455817669577528,0.00387254806767018,0.46483171900184905,0.03257986526053629,0.5813473399348553,0.013324876532229244,0.6997924553688851,0.007459235048855543,0.36110079873628503
1.389000,-0.011829752845196776,0.0024119450375007,0.001857728514932296,0.10729172781584932,-0.004539002874451982,0.2271211141429583,0.01708405661575661,0.34515688540858774,0.005260671694112103,0.46457299641959127,0.032213291264440114,0.5815069790691216,0.014987793539168143,0.7002642198088396,0.007593665928706007,0.36059507820940045
1.439000,-0.010501633823417273,0.0012755174817415888,0.0020540745407975017,0.10662326461510145,-0.0033354340387460844,0.22650217517491003,0.01682318973408537,0.34479684912871394,0.006484582701435655,0.4643506579508034,0.0315141113622949,0.5817113101823569,0.016244298284140563,0.700735815251954,0.008511475099034353,0.3604132053448036
1.489000,-0.009893626471303122,0.0007622300206722483,0.002168878510296353,0.10576548083029433,-0.0020747399702975445,0.22569042278224885,0.016595602671020858,0.34422910130378986,0.007912120327464297,0.46391451033254094,0.030960948996164476,0.5816801738214206,0.017849764700644234,0.7009617601889773,0.008594168563458052,0.35997628319462743
1.539000,-0.008372445276565492,0.00015741260848777308,0.002377385920226424,0.10523708627324337,-0.0008388618739847368,0.225193977488629,0.016294691159015273,0.3439645182821139,0.009135174900524227,0.4637507500736327,0.03016533017109942,0.5818935982242167,0.019070539092571875,0.7013796041441642,0.009535458859752268,0.36001142180825113
1.589000,-0.007419200279970329,-0.0004210910518016805,0.002513585664919332,0.10482285663426952,0.000494193065730392,0.22480586397736466,0.015970658044167682,0.3438036750099825,0.01056094943599485,0.4636816757026231,0.029394383023084926,0.5821945517047595,0.020598936096861788,0.7018717847542223,0.009658773183600498,0.3596867899454188
1.639000,-0.006422258940098935,-0.0009021548832472642,0.0026104547898503317,0.10429289000993852,0.0018153001113375708,0.22429025551704626,0.015669313278193507,0.34348784910551144,0.012035662569876562,0.4634328222453058,0.028705467689766683,0.5822693384941611,0.022235616250918463,0.7020947991459137,0.01101536815009452,0.3596386014846952
