run_name,delta,delta_max,distance_first_to_last,orientation_change_rad,displacement_x_local,displacement_y_local
delta_-15_deg,-0.2618,0.1047,0.03427161245137769,-0.02707296554185288,0.033481784007685506,-0.0073152962810894735
delta_-14_deg,-0.2443,0.1047,0.03587229263694278,-0.028265809338872693,0.03536615069729548,-0.0060047284606921155
delta_-13_deg,-0.2269,0.1047,0.03563138579344766,-0.03210820815186272,0.03473291577210958,-0.007951114106151767
delta_-12_deg,-0.2094,0.1047,0.03636765187531456,-0.020539701528421297,0.035668800469289254,-0.007095264336591062
delta_-11_deg,-0.192,0.1047,0.034533747682754856,-0.03445898076987584,0.03375208343951256,-0.0073059285863166425
delta_-10_deg,-0.1745,0.1745,0.03343149220730101,-0.06093759805646479,0.031587923576265775,-0.010948413371206858
delta_-9_deg,-0.1571,0.1745,0.03378176472264357,-0.05074263574415241,0.032439534338406815,-0.009427843851240349
delta_-8_deg,-0.1396,0.1745,0.033744550479449964,-0.0444051052213641,0.03225344456233683,-0.009920181496545902
delta_-7_deg,-0.1222,0.1745,0.034627091225825614,-0.03667260672367651,0.0334921227253997,-0.008792790348257733
delta_-6_deg,-0.1047,0.1047,0.03553038160508077,-0.034219663855204446,0.034643473583788234,-0.007889090888817826
delta_-5_deg,-0.0873,0.1047,0.03710421389156563,-0.03317474440016032,0.0359099507234014,-0.009337993764933397
delta_-4_deg,-0.0698,0.1047,0.03654359037841877,-0.02040104026652354,0.03562453298658337,-0.008144117339128528
delta_-3_deg,-0.0524,0.1047,0.038628187091732796,-0.017236224266176284,0.038152444365985624,-0.006043825518186694
delta_-2_deg,-0.0349,0.1047,0.037194138541303746,-0.01061872191254275,0.03644780659251683,-0.0074135913310745165
delta_-1_deg,-0.0175,0.1047,0.03877267849701983,0.0036031954060519278,0.03872215388360076,-0.00197873607335775
delta_0_deg,0.0,0.1047,0.03973104466749913,0.006781768199394628,0.039319327837065925,-0.005704942489819106
delta_1_deg,0.0175,0.1047,0.04167621599351042,0.013560525531876255,0.04155238465585465,-0.0032103440547126758
delta_2_deg,0.0349,0.1047,0.04356174992208719,0.021132319938176446,0.04355099767053926,-0.0009678110224352547
delta_3_deg,0.0524,0.1047,0.04523308964498815,0.024538603643077472,0.045224112161534956,0.0009011537229799325
delta_4_deg,0.0698,0.1745,0.04509543101014186,0.028541857954883995,0.045066449963989896,0.0016164732084570674
delta_5_deg,0.0873,0.1047,0.0453690561830708,0.027754297500871408,0.04528669199432772,-0.002732542251005013
delta_6_deg,0.1047,0.1047,0.04693160174807828,0.040268446843646805,0.0466642447518401,0.005002349885862484
delta_7_deg,0.1222,0.1745,0.047741628757242,0.04617346422824354,0.047712584404067886,0.0016650543171363935
delta_8_deg,0.1396,0.1745,0.048459995632723546,0.049141234812237915,0.04838846835131928,0.002631977837474507
delta_9_deg,0.1571,0.1745,0.04975782635468015,0.06151984628259344,0.049273014155818265,0.006929022986181769
delta_10_deg,0.1745,0.1745,0.0503856454059525,0.07009348221863743,0.050017538547116366,0.006079399695867326
delta_11_deg,0.192,0.1047,0.04661745338429488,0.04390746410046497,0.046600790927572334,0.00124629248637576
delta_12_deg,0.2094,0.1047,0.0461226368742244,0.03363671835352826,0.04610657897861254,0.0012169663596537689
delta_13_deg,0.2269,0.1047,0.046681367748226024,0.04261938544466966,0.04662574501611917,0.0022781563899247938
delta_14_deg,0.2443,0.1047,0.04625233988728997,0.04260386752428474,0.046193169403423835,0.0023388128432995465
delta_15_deg,0.2618,0.1047,0.04663252960928715,0.038133358766074155,0.04644318158302819,0.004198059338184051
