run_name,delta,distance_first_to_last,orientation_change_rad,displacement_x_local,displacement_y_local
delta_-6_deg,-0.1047,0.03240349640953837,-0.006743016183065276,0.03220890464763146,-0.003545848412263389
delta_-5_deg,-0.0873,0.03198798805568246,0.0098569091319248,0.031981679667316396,0.000635252318094869
delta_-4_deg,-0.0698,0.0351277660268947,0.011578359360512163,0.03512694320543244,0.00024043103497891727
delta_-3_deg,-0.0524,0.035983301793260765,0.016272513030995365,0.03592883200337219,-0.0019791510347472075
delta_-2_deg,-0.0349,0.03726887292575048,0.022517040972147895,0.03721963277065261,0.0019151568012828013
delta_-1_deg,-0.0175,0.04026149095944068,0.03260938801721346,0.03992527740499876,0.005192290285704312
delta_0_deg,0.0,0.04145396499544356,0.031973391020506024,0.04141781115937391,0.001730934028177142
delta_1_deg,0.0175,0.0431379542117721,0.0388954529692423,0.04248402634155203,0.007482686642327006
delta_2_deg,0.0349,0.04437300578378747,0.043738772487817344,0.043994581952010205,0.005782767603483144
delta_3_deg,0.0524,0.04468225576844194,0.04676087334110688,0.044629298867724806,0.0021747788696235204
delta_4_deg,0.0698,0.045411730874150805,0.0593877283989882,0.04482864827122636,0.0072537986711085495
delta_5_deg,0.0873,0.047738857657993176,0.06744480834929094,0.04604015978114707,0.012621498239772561
delta_6_deg,0.1047,0.048526528115100546,0.06716167563131537,0.04731128337369246,0.010791959805328027
