run_name,k,distance_first_to_last,orientation_change_deg,displacement_x_local,displacement_y_local
k-4.0,-4.0,0.0014317341622028064,12.520314448270433,-0.0004226048991440002,-0.0013679429119806354
k-3.9,-3.8999554367201426,0.0007639060035824559,11.49835743911612,0.0007584391812879582,9.12271373910781e-05
k-3.8,-3.8000222816399285,0.0016973973084399062,10.192560211355408,0.0016951710273958398,8.690690753197924e-05
k-3.7,-3.6999777183600715,0.0027770655589911424,9.586254715328838,0.0027682979210262764,0.0002204988421202846
k-3.6,-3.6000445632798574,0.0033606312644246833,9.083429722827276,0.0032478879774404186,-0.000863172162101298
k-3.5,-3.5,0.006427104395972674,8.271099015503426,0.0063391992782298205,-0.0010593504744048604
k-3.4,-3.399955436720143,0.004861383774254765,8.532782220775601,0.0019390651722054242,-0.004457923110432419
k-3.3,-3.300022281639929,0.005901644815479942,8.246920628672253,0.0014857566933934312,-0.005711561833344528
k-3.2,-3.1999777183600715,0.005423347763691288,8.241085466175928,0.0015361931392060706,-0.005201231739212502
k-3.1,-3.1000445632798574,0.00330426504661645,7.788100675783161,0.0006382730881476563,-0.0032420325358080027
k-3.0,-3.0000000000000004,0.0037047118788258305,7.239408594608284,-0.0032060035290037876,-0.0018564566995027047
k-2.9,-2.899955436720143,0.00407979781842646,7.299273612982734,-0.003996397180411498,0.0008207068999565744
k-2.8,-2.800022281639929,0.005433557929058551,6.642019789593392,-0.0051844704630442575,0.0016262895763844512
k-2.7,-2.6999777183600715,0.005140338322980502,6.436029138401928,-0.004742618355579018,0.001982586494462972
k-2.6,-2.6000445632798574,0.00492885686562772,7.133040975493786,-0.0048508526461531745,0.0008734177735506976
k-2.5,-2.5000000000000004,0.003850326049802087,8.373940789590959,-0.0037951478191203415,-0.0006495103700562897
k-2.4,-2.3999554367201426,0.003896396843775368,8.510615108690075,-0.003750561185129086,-0.001056029905251626
k-2.3,-2.3000222816399285,0.0030660654800687167,9.746523137691838,-0.0026616316294412823,-0.001521996911043762
k-2.2,-2.1999777183600715,0.003604629648438484,10.636836641557625,-0.0009641341108535772,-0.0034732981902926693
k-2.1,-2.1000445632798574,0.003579435512597588,10.139361108371046,0.0005702186817391475,-0.0035337245568720305
k-2.0,-2.0,0.004953618196459355,10.073375562865511,0.0007233304293519747,-0.004900523066598781
k-1.9,-1.8999554367201428,0.0023664457570976177,11.679023326531581,0.0023438336169685405,-0.0003263579281302788
k-1.8,-1.8000222816399287,0.0023684108134460293,12.196002197524132,0.001065411262937208,-0.002115246704773376
k-1.7,-1.6999777183600715,0.0025860665391354513,15.56206358912724,0.0019043216975324385,-0.001749656828393266
k-1.6,-1.6000445632798574,0.002909284435848975,20.695166784655587,-0.0012915912628817237,0.0026068617029525528
k-1.5,-1.5000000000000002,0.003590429169489573,28.138955661766452,-0.003382388691754711,0.0012044203414968704
k-1.4,-1.3999554367201426,0.0026540381575843523,38.87580012918615,0.0026431576766475203,-0.00024007506803712045
k-1.3,-1.3000222816399287,0.008704460403489269,45.7282933128448,0.0058029590005063535,0.006487934783454199
k-1.2,-1.1999777183600713,0.009292165976957352,54.96859903957965,-0.004485479342609367,0.008137863577767104
k-1.1,-1.1000445632798574,0.007699087863501949,63.78467500069158,-0.006641059942157732,-0.0038951606866201222
k-1.0,-1.0,0.01720507963388781,76.44349090309629,0.01422776887686308,0.009673952552860042
k-0.9,-0.8999554367201426,0.009211117945049564,96.03110941939858,-0.0020519848534489072,-0.008979646538635602
k-0.8,-0.8000222816399287,0.025456899814348278,117.34215048540649,-0.007434162618255722,0.02434721697285122
k-0.7,-0.6999777183600713,0.02745482052471757,139.78218784905192,0.023029431055260664,0.014946988837737474
k-0.6,-0.6000445632798574,0.02147615990321182,153.0098535305453,-0.006502846115433658,0.020467985650456974
k-0.5,-0.5,0.010522600808533837,162.2871963116578,-0.007191903548492983,-0.007681253226194992
k-0.4,-0.3999554367201426,0.04544775144241358,171.07782966650578,0.029674205147021973,-0.03442295251810717
k-0.3,-0.3000222816399287,0.03493704125244886,175.6497528282444,0.03489456202612366,-0.0017223218283240957
k-0.2,-0.1999777183600713,0.03633454064208376,172.0345066012942,0.036332991290156845,-0.00033554072871007715
k-0.1,-0.1000445632798574,0.022974627324887198,154.58366306905017,-0.011407512016870743,0.019942471519408096
k0.1,0.1000445632798574,0.009354892736629499,-135.09004261954266,-0.0060981718268431065,0.007094104487822287
k0.2,0.1999777183600713,0.00805753603713437,-133.8953982787315,-0.00804845852581601,0.00038236415618967507
k0.3,0.3000222816399287,0.0329082880748294,-124.2547199630379,-0.0014042985084566466,-0.032878311539905836
k0.4,0.3999554367201426,0.002142895176898028,-110.96053577622646,0.0017249692049852872,-0.001271409053383393
k0.5,0.5,0.012956369243272418,-103.26969704858936,-0.00831434113914916,-0.009936761816098209
k0.6,0.6000445632798574,0.008947677758134882,-100.47991504945924,-0.006638093985905387,-0.005999720451630092
k0.7,0.6999777183600713,0.019129594203344067,-87.75411390531195,0.00318672173462768,-0.01886229516709636
k0.8,0.8000222816399287,0.013850551858283565,-73.60571905592414,0.002652163510170614,-0.013594256709887516
k0.9,0.8999554367201426,0.02963515684054626,-56.72226901193096,-0.010550601803984065,-0.027693452701632273
k1.0,1.0,0.04722378600018639,-44.481871776341166,0.016491303577803332,-0.04425068214724075
k1.1,1.1000445632798574,0.012523178720552032,-35.05590429502522,0.009678069166431623,-0.007947640057064284
k1.2,1.1999777183600713,0.03218625860275112,-27.20091594289404,-0.025803278921571117,-0.019239179809409094
k1.3,1.3000222816399287,0.07675049283565939,-18.32505407926107,-0.018669290515088425,-0.0744452533220207
k1.4,1.3999554367201426,0.08370263327979335,-13.655319521659413,0.026120685943027674,-0.07952257908190155
k1.5,1.5000000000000002,0.09118461454396551,-8.01565367447788,0.06526173270090713,-0.06368312315211083
k1.6,1.6000445632798574,0.08423566606728589,-3.979441872093907,0.07986795057649046,-0.02677233476016938
k1.7,1.6999777183600715,0.07151052233454738,-2.74627999915766,0.06713259173550494,-0.024636759759225937
k1.8,1.8000222816399287,0.0629643286626614,-1.6154598576173156,0.061307256578208236,-0.014350155915298873
k1.9,1.8999554367201428,0.06296617330591592,-0.32044364140658216,0.06285052080975781,-0.0038145792340489922
k2.0,2.0,0.06062301359522048,-1.5569474385997024,0.060172815660634316,-0.007374417457508667
k2.1,2.1000445632798574,0.05561173985985199,-2.045707337727503,0.05469580268465116,-0.010051605788209036
k2.2,2.1999777183600715,0.050198439496564703,-0.9244442737652326,0.049979350644991184,-0.004684851864817775
k2.3,2.3000222816399285,0.04346802367291342,0.07629685125842389,0.0434154839688006,-0.002136547163949204
