run_name,O_h_deg,distance_first_to_last,orientation_change_rad,displacement_x_local,displacement_y_local
O_h_-40_deg,-39.998183678082775,0.018505854543475166,-0.02133478790368305,0.018505434199669282,-0.00012472957135677989
O_h_-38_deg,-37.998560973076195,0.020294258060811133,-0.021460151663449348,0.020140419496911772,-0.002494075525563302
O_h_-36_deg,-35.99893826806962,0.01940147227411704,-0.00866558730184633,0.01931561655664351,0.0018232069109268144
O_h_-34_deg,-33.99931556306305,0.021422604496607607,-0.016422982785603543,0.021414111540061273,-0.0006031669486031024
O_h_-32_deg,-31.999692858056477,0.02427627632834242,-0.019673656516934524,0.024238998960642712,-0.001344812907433589
O_h_-30_deg,-30.0000701530499,0.02488095796556605,-0.02326343310391117,0.02469974750261122,-0.0029974226581373914
O_h_-28_deg,-28.00044744804333,0.02336862061651734,-0.0011711137566951676,0.023190390174126295,0.0028806653902364084
O_h_-26_deg,-26.000824743036755,0.022263477377955188,0.0038353715706942056,0.022106237291381732,0.0026413439336530863
O_h_-24_deg,-24.001202038030186,0.02296611336926605,-0.005475385360168985,0.02289401588655214,0.001818350867208806
O_h_-22_deg,-22.001579333023614,0.022950551569847207,-0.0013713191231728276,0.02278537950572044,0.0027485083482702097
O_h_-20_deg,-20.00195662801704,0.02432558264251109,-0.0004581151700319848,0.024260571600535172,0.001777255331386902
O_h_-18_deg,-18.002333923010465,0.027903696498267506,-0.006999001615564205,0.027898703537487173,-0.0005278439114236484
O_h_-16_deg,-16.002711218003892,0.027337425799305894,-0.001876743568200859,0.02722459937267204,0.002481136499683281
O_h_-14_deg,-13.99735893504601,0.02704791865449714,0.005285241646654287,0.02704139820528419,0.0005938742657730609
O_h_-12_deg,-11.997736230039438,0.0268716015474058,0.008093904773487592,0.02687154554176981,5.486272990531786e-05
O_h_-10_deg,-9.998113525032865,0.02669618593827987,0.014723708238998622,0.026695607087513677,0.00017580068344988207
O_h_-8_deg,-7.9984908200262925,0.02714922897126817,0.015712812257429366,0.027105975307148592,-0.001531906127214625
O_h_-6_deg,-5.998868115019719,0.02643576607220577,0.018613531688930308,0.02641173017826105,0.0011270478317801078
O_h_-4_deg,-3.9992454100131463,0.027809262106816134,0.01430519779083237,0.027799513424894153,0.0007362827342329863
O_h_-2_deg,-1.9996227050065731,0.025991819095759306,0.017948740256126673,0.02578402524534187,0.0032800460445321965
O_h_0_deg,0.0,0.027333826245150836,0.0275347825665746,0.02732543965047636,0.0006770562076156739
O_h_2_deg,1.9996227050065731,0.028754728828863162,0.020399515871081585,0.028739965699808065,0.0009213042902918332
O_h_4_deg,3.9992454100131463,0.027436918772000683,0.021554764967650367,0.027390415266191986,-0.0015967664973065097
O_h_6_deg,5.998868115019719,0.026676374710493358,0.021649618724906672,0.02663854317491425,-0.001420206045923988
O_h_8_deg,7.9984908200262925,0.026888189444090285,0.021074728959892264,0.02686495541783807,-0.001117542830884426
O_h_10_deg,9.998113525032865,0.027331952906672355,0.022242265380265577,0.027160569305351958,-0.0030559981514602526
O_h_12_deg,11.997736230039438,0.02699239544991464,0.025494360115559764,0.026941997070939132,-0.0016486982604708546
O_h_14_deg,13.99735893504601,0.027915011173098234,0.023410288860031523,0.02769954723838413,-0.003461637124645669
O_h_16_deg,16.002711218003892,0.02611390480064976,0.026360365483764827,0.025994359746745126,-0.0024958536203461786
O_h_18_deg,18.002333923010465,0.024951064097683193,0.022408841904827514,0.02438008864461149,-0.005307247618830412
O_h_20_deg,20.00195662801704,0.02483055348660581,0.020078310231807374,0.024147343465944358,-0.005784651241769551
O_h_22_deg,22.001579333023614,0.0254012675861907,0.02880107924836124,0.02501276160471472,-0.004425624463391717
O_h_24_deg,24.001202038030186,0.024004505860936786,0.021265787508342647,0.023757702639238893,-0.003433346317115409
O_h_26_deg,26.000824743036755,0.024320292066461323,0.023074033088575554,0.023435572548298752,-0.006500041963818969
O_h_28_deg,28.00044744804333,0.021953873851929977,0.013669351171071749,0.020580215581325285,-0.007643775489418227
O_h_30_deg,30.0000701530499,0.02167502213691683,0.012017838498055962,0.020300850848126332,-0.007594869286430345
O_h_32_deg,31.999692858056477,0.022993278720651447,0.02495881341052584,0.02244614706691322,-0.004986115539783013
O_h_34_deg,33.99931556306305,0.01997727675257643,0.006069009157901328,0.018894919680495316,-0.006486416323106424
O_h_36_deg,35.99893826806962,0.019692597906709176,-0.006060978226028761,0.017961626489089492,-0.008073313209690638
O_h_38_deg,37.998560973076195,0.019882876555406707,0.001214723307391464,0.01926559710173215,-0.004915846664743663
O_h_40_deg,39.998183678082775,0.02063802029972878,-0.01241824110556517,0.016985516694425024,-0.011722632149625193
