run_name,O_v_deg,distance_first_to_last,orientation_change_deg,displacement_x_local,displacement_y_local
O_v_-180_deg,-180.00042091829943,0.4843991890444157,-117.50669521017704,0.48438304671972876,0.003954541364152395
O_v_-170_deg,-170.00230739326656,0.016054349094380475,0.5507139608512989,0.000496010403024396,-0.016046684969934655
O_v_-160_deg,-159.99846429028239,0.41345698238122464,-130.2861147631362,0.3936460299578911,0.12644951315912376
O_v_-150_deg,-150.00035076524952,0.2638116665875309,-95.8688458028165,-0.02153030383097232,-0.2629316288403443
O_v_-140_deg,-140.00223724021663,0.016164162997775906,0.5352195289207393,0.0009809314908308321,-0.016134371349047483
O_v_-130_deg,-129.99839413723248,0.016197953314061292,0.5288728376364361,0.0030554949107200052,-0.01590715695575653
O_v_-120_deg,-120.0002806121996,0.056140134824814954,1.8296762263897632,-0.053312151334835245,0.017593443614029206
O_v_-110_deg,-110.00216708716675,0.27070120355105093,-3.095696833826562,-0.26990789117744124,0.020709222200122675
O_v_-100_deg,-99.99832398418258,0.7089874667712202,-129.74859149612726,0.6166385540217049,0.3498858695813435
O_v_-90_deg,-90.00021045914971,0.045803171618400904,-0.6652069976756575,0.03839911392969485,-0.024968752065712068
O_v_-80_deg,-80.00209693411685,0.3588731615938307,-108.84177674429793,0.3204690914018569,-0.16152246768923512
O_v_-70_deg,-69.99825383113267,0.5751411190773189,-140.64961148635157,0.31077263934091315,0.4839500733449613
O_v_-60_deg,-60.0001403060998,0.018819939745809002,3.5449049275503444,0.011766331667624991,0.014688211978431091
O_v_-50_deg,-50.002026781066945,0.12432340727069371,-220.5978331329528,0.07844246408353095,-0.09645252419661571
O_v_-40_deg,-39.998183678082775,0.1729689013490765,-253.8823231314425,-0.1629654737535442,0.05796977831758081
O_v_-30_deg,-30.0000701530499,0.055591091811818115,-266.0395863889275,-0.05498131224129884,-0.008211260138053922
O_v_-20_deg,-20.00195662801704,0.002555631372632028,-248.7018239549145,0.002555490680222203,2.681596685799115e-05
O_v_-10_deg,-9.998113525032865,0.027657431357796743,-215.1430716312647,0.027463455042089836,0.0032698847781456692
O_v_0_deg,0.0,0.005259742379885505,-181.38616776161084,-0.0034407115073843524,0.003978240091512393
O_v_10_deg,9.998113525032865,0.012353225157358922,-170.43863302903546,-0.006932415362193929,0.010224665717490377
O_v_20_deg,20.00195662801704,0.010620250263843467,-141.83681043515432,-0.00838726271774774,-0.006514870664114988
O_v_30_deg,30.0000701530499,0.026494951076988637,-113.78196368066462,-0.014813937816036776,0.021966558195461956
O_v_40_deg,39.998183678082775,0.015134772507098281,-77.02452648586808,-0.01312296896912859,0.0075398291941466515
O_v_50_deg,50.002026781066945,0.007370063577158653,-43.605381681629055,-0.006484026722654167,0.003503603087004471
O_v_60_deg,60.0001403060998,0.01500442999468915,-0.10701902636916788,0.006845190946494036,-0.013352014094194313
O_v_70_deg,69.99825383113267,0.0203176547618455,-0.16123754569287685,0.013961046669637597,-0.01476130993204005
O_v_80_deg,80.00209693411685,0.01737917656362534,-0.0024449264837255527,0.012545811792345691,-0.012026569939126625
O_v_90_deg,90.00021045914971,0.013355146657885952,-0.20312559849491374,0.010899211216150884,-0.007717974936430741
O_v_100_deg,99.99832398418258,0.01613077102565035,-0.28021520648170933,0.008291858353721482,-0.013836432304744607
O_v_110_deg,110.00216708716675,0.015107636492764498,0.10657500867743977,-0.0010907285055717971,-0.015068211298115072
O_v_120_deg,120.0002806121996,0.015654817603475597,-0.28514634027854247,0.005608048748148934,-0.014615851102021894
O_v_130_deg,129.99839413723248,0.019091037661179287,-0.15090549413139734,0.013954331985371497,-0.013028596924558065
O_v_140_deg,140.00223724021663,0.01612543851079966,-0.12196843881714173,0.003956344401118572,-0.01563256556504141
O_v_150_deg,150.00035076524952,0.0142758548252226,-0.2968139133169947,0.008542308197571541,-0.011438050605261955
O_v_160_deg,159.99846429028239,0.0202730443418496,-0.16258383190206122,0.014431780861487834,-0.014237978369578795
O_v_170_deg,170.00230739326656,0.022527122626753653,-0.2441061550703173,-0.017868450457759616,-0.013718226273078692
O_v_180_deg,180.00042091829943,0.021753781284606213,-0.17729574662089737,0.014886129011030876,-0.015862854826462623
