run_name,k_h,k_v,distance_first_to_last,orientation_change_deg,displacement_x_local,displacement_y_local
k-4.0,-4.0,-8.0,0.002307613116526736,-0.2765403827366208,-0.0005968953910004547,-0.002229079224201924
k-3.9,-3.900019098548511,-7.8000222816399285,0.0045149269079226215,-6.008799711162839,-0.004449067989671876,0.0007683482330042668
k-3.8,-3.800038197097021,-7.600044563279857,0.015292390859060562,0.9524823026362076,-0.01486167972700909,-0.003603844319346495
k-3.7,-3.6999618029029797,-7.399955436720143,0.0041048841816147185,0.5451552383519991,0.002275108635681733,-0.0034167169681314172
k-3.6,-3.59998090145149,-7.1999777183600715,0.026984798004158064,-4.674532137349484,-0.025737963961368515,0.008107807006121247
k-3.5,-3.5000000000000004,-7.0,0.008789322630672388,-0.20570151858684724,-0.0059462763762416,-0.006472556648141509
k-3.4,-3.400019098548511,-6.8000222816399285,0.02117704413478034,-5.42160492012607,0.019893000422113966,-0.007261937240998979
k-3.3,-3.3000381970970207,-6.600044563279858,0.060689486158060094,-10.569369025575702,0.0328784245038439,-0.05101198812313048
k-3.2,-3.1999618029029797,-6.399955436720143,0.030544637819556787,-6.668718751959719,0.027184577129545525,-0.013927442902977167
k-3.1,-3.0999809014514903,-6.1999777183600715,0.004916484266723624,0.15364480853040724,-0.0036738396120232367,0.0032672190085866414
k-3.0,-3.0,-6.000000000000001,0.008859105939077863,-0.22716691470561862,-0.008312477574873873,0.0030637354009482674
k-2.9,-2.9000190985485106,-5.800022281639929,0.00888489681507891,1.1792636946376946,-0.00879568472618201,0.0012559146516415301
k-2.8,-2.8000381970970207,-5.600044563279858,0.01144050619317466,0.478714505102658,-0.011219442918592904,0.002238142656870473
k-2.7,-2.6999618029029797,-5.399955436720143,0.006634429557994003,-2.223624035567777,-0.00022764328339816824,0.006630522912675003
k-2.6,-2.59998090145149,-5.199977718360072,0.008605448103300647,-3.219612487567221,0.006701102580698954,0.005398977797838266
k-2.5,-2.5,-5.000000000000001,0.00740718985897821,-2.4593092519328112,0.007121579540118596,0.0020370484679343884
k-2.4,-2.4000190985485106,-4.800022281639929,0.004077488849758817,-1.900370008937541,0.004075533629822914,-0.00012625748330270955
k-2.3,-2.3000381970970207,-4.600044563279857,0.0022908122552831706,-1.4312779902401804,0.0022050572145872766,-0.0006209214679427416
k-2.2,-2.1999618029029793,-4.399955436720143,0.0003538440202355886,-2.0109812951102257,0.00033119855067947494,-0.00012455163862550714
k-2.1,-2.09998090145149,-4.1999777183600715,0.0004269581952121404,-1.4077531937557066,-0.00013170500677270536,-0.00040613678933311355
k-2.0,-2.0,-4.0,0.0019311320610958757,-0.7252271193092946,-0.0009674617590280969,-0.00167131349010611
k-1.9,-1.9000190985485106,-3.8000222816399285,0.010407749215283528,-0.9077747007415098,-0.010402132352144745,-0.0003418863213095018
k-1.8,-1.8000381970970207,-3.6000445632798574,0.019777764202455583,-0.05875075642084065,-0.019709525578101034,-0.0016415109911647266
k-1.7,-1.6999618029029795,-3.399955436720143,0.02648002210884862,1.6214091709193363,-0.02635147727782412,-0.0026059961936715868
k-1.6,-1.5999809014514899,-3.1999777183600715,0.023918848027786307,3.8618870174367785,-0.022274380124815776,-0.008715691655373585
