run_name,O_h_deg,distance_first_to_last,orientation_change_deg,displacement_x_local,displacement_y_local
O_h_-40_deg,-39.998183678082775,0.0082712410569292,-43.055318951551946,0.007906316977763493,0.0024297284763857853
O_h_-38_deg,-37.998560973076195,0.003456601460133453,-46.235840731185846,-0.003340396904111557,0.0008887306550348353
O_h_-36_deg,-35.99893826806962,0.014617012937473674,-44.10222895653711,0.010042628468523116,0.010620860636383563
O_h_-34_deg,-33.99931556306305,0.015160100959670965,-51.303363743507624,-0.014682458625708935,-0.003775456238888473
O_h_-32_deg,-31.999692858056477,0.01992924985708648,-44.799287266255476,-0.0009564672820927338,0.019906284691133792
O_h_-30_deg,-30.0000701530499,0.014639208187336177,-44.32339459943005,0.014279576260626274,0.0032249214206130834
O_h_-28_deg,-28.00044744804333,0.03200374323033329,-41.603314533862275,0.028610395448941707,0.014341717226618287
O_h_-26_deg,-26.000824743036755,0.008216582903112966,-45.85235823037998,0.0036724186802530247,0.007350209224277695
O_h_-24_deg,-24.001202038030186,0.02117358776782959,-41.01271222973911,0.005843956207762963,0.02035114234640728
O_h_-22_deg,-22.001579333023614,0.015838781690983905,-221.07298930874805,-0.0019435898546482557,0.015719079614645234
O_h_-20_deg,-20.00195662801704,0.010232579126410443,-220.9542143845089,-0.004655707826425538,0.009112083198325766
O_h_-18_deg,-18.002333923010465,0.013424919009701768,-216.54306348108628,-0.002772612993539582,0.013135488860529985
O_h_-16_deg,-16.002711218003892,0.028261001595960168,-215.46504619273057,-0.0058187175446280295,0.027655501032212402
O_h_-14_deg,-13.99735893504601,0.025213624840796457,-213.03919102035394,-0.006981795570952257,0.024227699193647333
O_h_-12_deg,-11.997736230039438,0.0229404619182756,-208.32219186219334,-0.019727577812561684,0.011708435705643047
O_h_-10_deg,-9.998113525032865,0.021548001962318222,-208.17993355844885,-0.012898224401589147,0.017261291836195816
O_h_-8_deg,-7.9984908200262925,0.01072482753662979,-204.95115307552328,-0.009070190973732392,0.005723072722801632
O_h_-6_deg,-5.998868115019719,0.008992300387900366,-196.5090331698649,-0.004867641765653826,-0.007560921234049166
O_h_-4_deg,-3.9992454100131463,0.010732865225896792,-193.69552052216616,0.010588997397258116,-0.001751436575536057
O_h_-2_deg,-1.9996227050065731,0.011429364700155447,-187.89862507874315,0.004066810095422414,-0.010681359140901955
O_h_0_deg,0.0,0.031166602134516285,-182.19234860263984,0.01380028138548198,0.027944754826134274
O_h_2_deg,1.9996227050065731,0.012010172383913258,-182.35533447183764,0.00992298348422517,0.006765991388045592
O_h_4_deg,3.9992454100131463,0.009865849799300596,-180.46815612148959,0.007941966547012888,0.005853217886640457
O_h_6_deg,5.998868115019719,0.010925040689202341,-180.15640803039454,-0.005693841958009953,0.00932398400995691
O_h_8_deg,7.9984908200262925,0.021097858105996854,-178.42276107646055,-0.0038602149987629125,0.020741705735645346
O_h_10_deg,9.998113525032865,0.002891500035447567,-174.6462267860653,0.0004923740195532053,-0.00284927013107959
O_h_12_deg,11.997736230039438,0.015195683853988423,-176.5109823798464,0.0028182148978903943,0.014932061899807177
O_h_14_deg,13.99735893504601,0.006292577361642765,-178.59057648321496,0.0031215145926148115,0.005463760289429964
O_h_16_deg,16.002711218003892,0.010979866507781847,-174.537298558664,0.0036377525430862498,0.010359740583816711
O_h_18_deg,18.002333923010465,0.01700670493024382,-176.28030970860414,-0.012323302662207032,0.01172024846494393
O_h_20_deg,20.00195662801704,0.010976977853496368,-176.54101702445257,-0.0017433063243288832,0.010837662379669547
O_h_22_deg,22.001579333023614,0.007638959067314777,-175.40447500229317,-0.007590286272790831,-0.0008609587267655277
O_h_24_deg,24.001202038030186,0.013228628325439218,-355.22081448555673,-0.012544109446616972,-0.004200229227543141
O_h_26_deg,26.000824743036755,0.005056315625198627,-353.29282793831675,-0.0015138508631556671,0.004824373872923887
O_h_28_deg,28.00044744804333,0.014851019475924454,-353.469084099849,-0.013370226450958223,-0.006464504940394471
O_h_30_deg,30.0000701530499,0.02475833592082038,-348.9386385969993,-0.0038309936838048565,-0.024460144827102556
O_h_32_deg,31.999692858056477,0.008529194136251554,-354.7858122308818,0.007925787773397886,0.003151038048790343
O_h_34_deg,33.99931556306305,0.01804371394538204,-356.0744179345721,-0.005314584584827311,0.017243282855462595
O_h_36_deg,35.99893826806962,0.017724001976247735,-354.013481807579,0.0030222312550887372,0.017464431404852508
O_h_38_deg,37.998560973076195,0.03487830570594535,-350.5487473203203,0.023024442639442515,-0.026198687945399125
O_h_40_deg,39.998183678082775,0.01353782119896179,-352.3875123868913,-0.0011721966848696444,0.01348697733916091
