run_name,delta_deg,delta_max,distance_first_to_last,orientation_change_deg,displacement_x_local,displacement_y_local
delta_-30_deg,-30.0000701530499,0.5236,0.024610891778417354,-4.8572248299717655,0.021798292411459474,-0.01142499199446018
delta_-28_deg,-28.00044744804333,0.5236,0.026717884617250942,-5.014995062735799,0.024139449968603132,-0.011451301831409421
delta_-26_deg,-26.000824743036755,0.5236,0.026048422128491563,-5.0739788394236145,0.02285133046142941,-0.012503479176878614
delta_-24_deg,-24.001202038030186,0.5236,0.026295605332539992,-5.374375515511156,0.023312645435108463,-0.01216467930615609
delta_-22_deg,-22.001579333023614,0.5236,0.026703661980979208,-5.196781454473019,0.02447511861464014,-0.010679612914038128
delta_-20_deg,-20.00195662801704,0.3491,0.028316136459431807,-5.410431402474725,0.02510243674056035,-0.01310233771795435
delta_-18_deg,-18.002333923010465,0.3491,0.02944946807292096,-5.798460209680796,0.02554473286676029,-0.014653934370804573
delta_-16_deg,-16.002711218003892,0.3491,0.029768259043235712,-5.358408741576365,0.025390486746344518,-0.015539383168224147
delta_-14_deg,-13.99735893504601,0.3491,0.0314027789897753,-5.407299579880659,0.02826927958886862,-0.013674149326632693
delta_-12_deg,-11.997736230039438,0.3491,0.033608503077741554,-4.725629034265484,0.030159559166853308,-0.014830120363221542
delta_-10_deg,-9.998113525032865,0.3491,0.03379199239973393,-4.393454914423053,0.03113527867254815,-0.013133665608901557
delta_-8_deg,-7.9984908200262925,0.3491,0.03561724059774042,-3.4808721389933592,0.03315906351153361,-0.013002474181301371
delta_-6_deg,-5.998868115019719,0.3491,0.035763279102709704,-3.046697629239849,0.03446762591294877,-0.009539124493544205
delta_-4_deg,-3.9992454100131463,0.3491,0.03631336752452128,-2.1160618207543807,0.03578687272214664,-0.006161201322780629
delta_-2_deg,-1.9996227050065731,0.3491,0.036068171180170236,-1.1243747660328793,0.03565098056924139,-0.0054699686227285774
delta_0_deg,0.0,0.3491,0.03668145398107204,-0.43998875152558065,0.03659011524361478,-0.0025869929695486564
delta_2_deg,1.9996227050065731,0.3491,0.03749599678447004,0.4160785073137581,0.03745448458656724,0.0017639045369817231
delta_4_deg,3.9992454100131463,0.3491,0.038464104013385216,0.9052013386004316,0.03829957811549685,0.0035538167830477174
delta_6_deg,5.998868115019719,0.3491,0.03985406260974831,1.7083400286347765,0.03935404164856788,0.006293306954576667
delta_8_deg,7.9984908200262925,0.3491,0.04288900561977579,2.7079031967948652,0.041112639252426544,0.012215469567437635
delta_10_deg,9.998113525032865,0.3491,0.04299305952363914,3.4688140793875064,0.040222828704506774,0.015183122808272491
delta_12_deg,11.997736230039438,0.3491,0.04611699665357349,4.769274910158021,0.04244729001857294,0.01802789367687933
delta_14_deg,13.99735893504601,0.3491,0.04623448939841044,5.830338592757151,0.041470171506582665,0.02044145017229323
delta_16_deg,16.002711218003892,0.3491,0.04566222550338459,6.338381805132907,0.039050129897713705,0.02366698529373
delta_18_deg,18.002333923010465,0.3491,0.04534367204155299,6.44962252517899,0.03931846869173084,0.022585539930435505
delta_20_deg,20.00195662801704,0.3491,0.046265084433050045,6.83400537959708,0.03890120260061596,0.025043052406267884
delta_22_deg,22.001579333023614,0.5236,0.045048562878711444,6.888451351397466,0.037901890866442835,0.02434788874184938
delta_24_deg,24.001202038030186,0.5236,0.044731654795454455,7.294113059289035,0.03689902544079771,0.025286021083971807
delta_26_deg,26.000824743036755,0.5236,0.04393236285947466,6.620725300017888,0.03811796662177452,0.021842003732208994
delta_28_deg,28.00044744804333,0.5236,0.04428643806710144,6.656463155653151,0.03921828920592225,0.020572175102109493
delta_30_deg,30.0000701530499,0.5236,0.04396765228881866,5.928882248435299,0.03986447236929552,0.018546651733079327
