run_name,delta,distance_first_to_last,orientation_change_rad,displacement_x_local,displacement_y_local
delta_-15_deg,-0.2618,0.014299262691343495,-0.034390158777163095,0.014115322002833825,-0.002286175468410788
delta_-14_deg,-0.2443,0.014030920173586288,-0.03210550026264463,0.013731399096361358,-0.0028836434894066263
delta_-13_deg,-0.2269,0.014689045104598774,-0.038198541829653605,0.01438886359574986,-0.0029544289647648703
delta_-12_deg,-0.2094,0.014966646173666361,-0.0411217406408549,0.014610152604503653,-0.0032471431383351568
delta_-11_deg,-0.192,0.01481353487730795,-0.041496162093517634,0.01441461201286608,-0.0034146414276986573
delta_-10_deg,-0.1745,0.014118335673296307,-0.04250159536911484,0.013777882636989253,-0.0030817774457642493
delta_-9_deg,-0.1571,0.016935769186016938,-0.04216004819589158,0.01643007089196312,-0.00410768163409812
delta_-8_deg,-0.1396,0.017880805094476246,-0.03491107543571357,0.017334867918750677,-0.004384694409661438
delta_-7_deg,-0.1222,0.01868659253854241,-0.021008969510025833,0.018568846372746414,-0.002094441473723045
delta_-6_deg,-0.1047,0.020479889084202958,-0.012161115169277132,0.02042911866397138,-0.0014411688015744913
delta_-5_deg,-0.0873,0.02165323412615629,-0.005725661449225553,0.02158834159476503,-0.001675128445784855
delta_-4_deg,-0.0698,0.021752256309845824,0.003953682094914948,0.021751965338061275,0.00011251000403614405
delta_-3_deg,-0.0524,0.024498397391493478,0.0027053667003075713,0.02447164713923953,-0.0011445352961286586
delta_-2_deg,-0.0349,0.024630339981261087,0.019162642824329144,0.0246082420447067,0.0010431064478939667
delta_-1_deg,-0.0175,0.02576801105533683,0.021487249251539685,0.025767442848509035,-0.00017112216917046508
delta_0_deg,0.0,0.02796713189313849,0.028606928733300455,0.027834496325073912,0.002720529481121447
delta_1_deg,0.0175,0.02904471954422192,0.03306385357435082,0.028949480453927992,0.002350173365977092
delta_2_deg,0.0349,0.03017794164570847,0.03558645116866907,0.030100706052085688,0.0021576971839712667
delta_3_deg,0.0524,0.03153386725012758,0.04293788679419983,0.03135777876359286,0.0033278363484752823
delta_4_deg,0.0698,0.03302754254376327,0.05050075059346919,0.032422024822377146,0.006295305623816312
delta_5_deg,0.0873,0.03369547075003742,0.05174371350393254,0.033404618967844434,0.004417712154470368
delta_6_deg,0.1047,0.034321593461879664,0.05533685291272505,0.03399332060202174,0.004735602623817245
delta_7_deg,0.1222,0.03565965557512491,0.06430106915884005,0.03512753844473823,0.0061373511020614505
delta_8_deg,0.1396,0.036545081490937,0.07323445574710914,0.03531235362554209,0.009411730053709062
delta_9_deg,0.1571,0.03722779801478818,0.07852161390746679,0.03636635635943599,0.007962227713923804
delta_10_deg,0.1745,0.03804966927102091,0.09043929725197165,0.035630504885094144,0.013350822194432625
delta_11_deg,0.192,0.038774622484624904,0.10245774884328261,0.03516449450214266,0.016337982593758557
delta_12_deg,0.2094,0.03903107780016421,0.1116424680748942,0.03502531743758791,0.017223593487965056
delta_13_deg,0.2269,0.03930258915477432,0.12255065756974003,0.033816790356561134,0.020027935596295933
delta_14_deg,0.2443,0.040257516551823254,0.13180331427792805,0.03433502015476557,0.021018421203605323
delta_15_deg,0.2618,0.040015826048188506,0.13421710445474463,0.03355522145143748,0.021801684514364292
