run_name,delta_phi_vh_deg,distance_first_to_last,orientation_change_rad,displacement_x_local,displacement_y_local
phi_vh_0_deg,0.0,0.029462715721481438,-0.14370022492839965,0.021555744797792452,-0.020084857079334002
phi_vh_5_deg,5.001921551492087,0.03607347159612056,-0.12814318116872686,0.028572044649364373,-0.02202120835809981
phi_vh_10_deg,9.998113525032865,0.038426022435101743,-0.12124475245263545,0.030582214634380597,-0.02326558291209614
phi_vh_15_deg,15.00003507652495,0.043517582974809225,-0.10948166488978961,0.036858084665422425,-0.023135721790468473
phi_vh_20_deg,20.00195662801704,0.04617666207196189,-0.1035738982219386,0.03774653648366728,-0.026598554539586126
phi_vh_25_deg,24.99814860155782,0.04998687450104336,-0.09017304195144868,0.043396526699398606,-0.024807843372841632
phi_vh_30_deg,30.0000701530499,0.05343177429969988,-0.07467586374386756,0.049556062353042836,-0.019978768452419655
phi_vh_35_deg,35.00199170454199,0.05593797400581153,-0.05831790967272498,0.05377170569559269,-0.015416244758741073
phi_vh_40_deg,39.998183678082775,0.058831471733747344,-0.05019155073255122,0.055717499355703394,-0.018886564851923304
phi_vh_45_deg,45.00010522957486,0.06093952443853441,-0.021929133344190423,0.06063462510621774,-0.006088339430679165
phi_vh_50_deg,50.002026781066945,0.06150760883384226,-0.007317080890836855,0.0610415578362386,-0.0075573911756695224
phi_vh_55_deg,54.99821875460772,0.061300598499690294,0.00757494168993067,0.06126720943470352,0.0020229741729461894
phi_vh_60_deg,60.0001403060998,0.06266822512088766,0.02642962170350427,0.0621106855133144,0.00834081440078915
phi_vh_65_deg,65.0020618575919,0.058915697809112426,0.04299325230604644,0.05773435336352472,0.011738990162288987
phi_vh_70_deg,69.99825383113267,0.05794587559420106,0.058369708064080573,0.05455692499738281,0.01952604499658271
phi_vh_75_deg,75.00017538262476,0.05646155277646838,0.06508170426113832,0.05180126331773563,0.022461880166551956
phi_vh_80_deg,80.00209693411685,0.05221230294679621,0.08340011600443814,0.045728352478797044,0.02520004679723671
phi_vh_85_deg,84.99828890765762,0.0501861320034031,0.09768560977011771,0.04307427523877514,0.02575373095528577
phi_vh_90_deg,90.00021045914971,0.04479616190252904,0.11718132186166624,0.034501578208813215,0.028571615675329586
phi_vh_95_deg,95.00213201064179,0.04297584740809544,0.1399881684699176,0.030700034723284128,0.030073764786488773
phi_vh_100_deg,99.99832398418258,0.03899391024933044,0.14196046899940107,0.026734705250959834,0.028386274353587485
phi_vh_105_deg,105.00024553567467,0.032475716129392804,0.1549208396175814,0.020755606594130387,0.024977528561220687
phi_vh_110_deg,110.00216708716675,0.02880306099716147,0.17137422071435804,0.015289483344413664,0.024409998399571874
phi_vh_115_deg,114.99835906070753,0.02499949884067282,0.17290749989000787,0.012718592977917305,0.021522368246707294
phi_vh_120_deg,120.0002806121996,0.0198905068538523,0.17557430470838853,0.01026582486733379,0.017036581308947415
phi_vh_125_deg,125.00220216369172,0.01738541919844072,0.16772082203762248,0.008870732241200732,0.014952020271870727
phi_vh_130_deg,129.99839413723248,0.012487665208772501,0.1803225015109612,0.005557451638903319,0.011182866969057532
phi_vh_135_deg,135.00031568872456,0.0064999998242583155,0.1848943426331819,0.002585951493523008,0.005963459783423063
phi_vh_140_deg,140.00223724021663,0.005711063744602488,0.1841578353974195,0.0014462475935543132,0.005524908776898616
phi_vh_145_deg,144.99842921375742,0.0017668095982876929,0.18845107063630986,-0.0016633395214136087,0.0005957497739026568
phi_vh_150_deg,150.00035076524952,0.005620272091946062,0.18302907071401772,-0.004043310544573346,-0.0039037287594874915
phi_vh_155_deg,155.0022723167416,0.006788051295985353,0.19016097323988343,-0.004680128190573844,-0.004916710334840201
phi_vh_160_deg,159.99846429028239,0.011376762110607425,0.17551309198875276,-0.0070506221246887605,-0.008928574565752474
phi_vh_165_deg,165.00038584177446,0.016738577155938336,0.15696447006761652,-0.010919834832536272,-0.012686101546000184
phi_vh_170_deg,170.00230739326656,0.021316546526097244,0.1600306863534207,-0.01396542427489138,-0.016104722308116434
phi_vh_175_deg,174.99849936680735,0.026536829190799825,0.1444239346460979,-0.01969965861964467,-0.01777995370553999
phi_vh_180_deg,180.00042091829943,0.030490395963126183,0.14166578874136962,-0.0204667530897292,-0.02260035981908876
phi_vh_185_deg,185.0023424697915,0.03529924282319684,0.1279995666931595,-0.026465866895297688,-0.023357962954234673
phi_vh_190_deg,189.9985344433323,0.04050056947256,0.11033935691439191,-0.03317258633641275,-0.023235224194203527
phi_vh_195_deg,195.00045599482436,0.044705827743267236,0.10566549484670701,-0.03573344938703618,-0.026865063355868087
phi_vh_200_deg,200.00237754631647,0.04720142162630034,0.09565498271725849,-0.04126076990910564,-0.02292428995741451
phi_vh_205_deg,204.99856951985726,0.0514121665945732,0.08287230436254318,-0.046702961760532444,-0.02149521427533098
phi_vh_210_deg,210.00049107134933,0.052896267558972414,0.07663551163555105,-0.04847920766963794,-0.021160849354279608
phi_vh_215_deg,215.0024126228414,0.05709240638128212,0.06227308899786135,-0.05316811297487533,-0.020801313157980124
phi_vh_220_deg,219.9986045963822,0.05827083787294236,0.04921231343073314,-0.05619362358106369,-0.015419702177553804
phi_vh_225_deg,225.0005261478743,0.060377426216387066,0.030291713758573705,-0.059549636552160425,-0.009963653096172281
phi_vh_230_deg,230.0024476993664,0.061506834194951066,0.005938400845174305,-0.06144577893904063,-0.0027398728546689636
phi_vh_235_deg,234.99863967290713,0.06115988648742141,-0.008703133513189883,-0.061093456204113876,0.002849793710129068
phi_vh_240_deg,240.0005612243992,0.060808611968537214,-0.03308741908003214,-0.05961289922114286,0.01199956399166201
phi_vh_245_deg,245.0024827758913,0.05959398131623415,-0.045761810714116266,-0.05771989821242805,0.014827540573763745
phi_vh_250_deg,249.9986747494321,0.05838932028115302,-0.05698893995998223,-0.05570834562794842,0.017489795604640625
phi_vh_255_deg,255.00059630092417,0.055729336542730955,-0.07355400943789174,-0.05149362928447887,0.02131114953740476
phi_vh_260_deg,260.00251785241625,0.05261766740500087,-0.08698560484361763,-0.045873136179671564,0.025773519359695532
phi_vh_265_deg,264.99870982595706,0.04845022686173248,-0.10184133028438813,-0.04112526807792928,0.025615167547213
phi_vh_270_deg,270.0006313774491,0.04410212676379135,-0.1207449605599361,-0.034344681538299116,0.027666594208943324
phi_vh_275_deg,275.0025529289412,0.040810759795210746,-0.13790655662365595,-0.02828436624385185,0.029419597911019175
phi_vh_280_deg,279.998744902482,0.037058847923128135,-0.1503848533998868,-0.024417528277964194,0.027877276089753763
phi_vh_285_deg,285.0006664539741,0.03403924269462177,-0.15228790846834472,-0.022124846728063446,0.025868150310431198
phi_vh_290_deg,290.0025880054662,0.026172677002848543,-0.17433860626861833,-0.0130317186544162,0.022697650327899093
phi_vh_295_deg,294.99877997900694,0.025222587140488664,-0.1752784800996093,-0.012590230059478113,0.02185554870299435
phi_vh_300_deg,300.00070153049904,0.020068477927397035,-0.18516805227704938,-0.00933391465077061,0.017765749171215713
phi_vh_305_deg,305.0026230819911,0.017610059687173732,-0.1842831641234051,-0.007897408316645841,0.015739921984113975
phi_vh_310_deg,309.9988150555319,0.012089485224070868,-0.18073894370611115,-0.005170631467617261,0.010927956039860062
phi_vh_315_deg,315.000736607024,0.008585696853517906,-0.18008136534537506,-0.003624939016385094,0.007782930526992793
phi_vh_320_deg,320.00265815851606,0.004729828894406825,-0.18009234284739806,-0.0011954575056621736,0.0045762607795580956
phi_vh_325_deg,324.9988501320569,0.001291820317148691,-0.17717084720489315,0.0010454643195991853,0.0007588175592612217
phi_vh_330_deg,330.0007716835489,0.003916018622308618,-0.1852612575160103,0.0029978567578411077,-0.002519535018556854
phi_vh_335_deg,335.002693235041,0.008742506993526182,-0.1781787109782891,0.006092910966636177,-0.0062695984308804645
phi_vh_340_deg,339.9988852085818,0.011407237671823101,-0.1673431612808251,0.007154946256942121,-0.008884357903739022
phi_vh_345_deg,345.0008067600739,0.01658364514310527,-0.17052743440438523,0.010969561392439719,-0.012437283026848553
phi_vh_350_deg,350.002728311566,0.020164967653783953,-0.16462769381625278,0.013533931440552153,-0.014948532377480648
phi_vh_355_deg,354.99892028510675,0.025967674637203144,-0.14813576702079112,0.01878267718490826,-0.0179312900771576
phi_vh_360_deg,360.00084183659885,0.031762395862877976,-0.13082958625680494,0.02544694817218253,-0.0190079620073385
