run_name,A_h_deg,distance_first_to_last,orientation_change_rad,displacement_x_local,displacement_y_local
A_h_-60_deg,-60.0001403060998,0.007239913275951146,0.008205163146745869,0.007239864181481821,2.6662276538605976e-05
A_h_-55_deg,-54.99821875460772,0.007648174044898853,0.009354262646953644,0.0076481590537475245,-1.5142973427741433e-05
A_h_-50_deg,-50.002026781066945,0.007336792908854331,0.006721851199945475,0.007336592073137793,-5.4285723601076064e-05
A_h_-45_deg,-45.00010522957486,0.00742841831808758,0.007633646638086592,0.007428414408317838,-7.621469349398675e-06
A_h_-40_deg,-39.998183678082775,0.007222675542436293,0.00805068969386833,0.0072226661506407655,-1.1647647638357364e-05
A_h_-35_deg,-35.00199170454199,0.007483849226986334,0.006134086672834812,0.007483848103595365,-4.100558011574215e-06
A_h_-30_deg,-30.0000701530499,0.007086446081801931,0.007899762409489863,0.007086440229756673,-9.107160487880424e-06
A_h_-25_deg,-24.99814860155782,0.007175367885714343,0.00788144968657895,0.007175221888423688,-4.577277822390827e-05
A_h_-20_deg,-20.00195662801704,0.007635978794904611,0.008728481475964701,0.0076356235388982206,-7.365682898602234e-05
A_h_-15_deg,-15.00003507652495,0.007401190824558965,0.006819677202464983,0.007401134837284271,-2.878787718704075e-05
A_h_-10_deg,-9.998113525032865,0.007065082979997817,0.008923508212616126,0.007064524995598137,-8.879245927426461e-05
A_h_-5_deg,-5.001921551492087,0.007418310461651853,0.006153387244428619,0.007418293961167807,-1.564644223386251e-05
A_h_0_deg,0.0,0.007473648691390824,0.00855573585721935,0.007473473443372453,5.118059724608895e-05
A_h_5_deg,5.001921551492087,0.007316446294669211,0.006215361017751028,0.0073164462939790354,-1.0049516075910452e-07
A_h_10_deg,9.998113525032865,0.014717000861041902,0.01716939926744905,0.01471666858669118,9.889415253272428e-05
A_h_15_deg,15.00003507652495,0.02084095501898445,0.023372143276987535,0.020839555989403992,0.00024147933209571894
A_h_20_deg,20.00195662801704,0.027679762235081416,0.023075048775878907,0.027670996049425044,0.0006965737745155495
A_h_25_deg,24.99814860155782,0.03442620696070103,0.027612645912080194,0.034319183912955485,0.0027124419348177322
A_h_30_deg,30.0000701530499,0.04173954643324696,0.03499415123207494,0.04168002774321901,0.002228233331065777
A_h_35_deg,35.00199170454199,0.046441239385196204,0.04161851889109538,0.046259753411452574,0.0041016984219590215
A_h_40_deg,39.998183678082775,0.05237754994348749,0.0331165419150943,0.052236209612553576,0.0038452754642406602
A_h_45_deg,45.00010522957486,0.06001353186164163,0.041486629115691634,0.059884847575778215,0.003927981330669135
A_h_50_deg,50.002026781066945,0.06626189305452704,0.04264838026362945,0.06607878094198627,0.004922720832077522
A_h_55_deg,54.99821875460772,0.0727521387559067,0.03919733658356832,0.07259097754587103,0.00483980087333682
A_h_60_deg,60.0001403060998,0.07933357498331452,0.05571018204618355,0.07930187274957541,0.0022425650588859068
