run_name,O_h_deg,distance_first_to_last,orientation_change_deg,displacement_x_local,displacement_y_local
O_h_-40_deg,-39.998183678082775,0.02042863347753687,-2.0030875469273437,0.020337360264814794,0.001928948734070545
O_h_-38_deg,-37.998560973076195,0.02131833591757618,-2.0749110452685113,0.021311943951563366,-0.0005220069923290332
O_h_-36_deg,-35.99893826806962,0.024708745200155865,0.0015364589286159841,0.02239402413765089,0.010441732245587169
O_h_-34_deg,-33.99931556306305,0.025624532450223027,-0.07899564102544017,0.024730397295833338,0.006710000959968024
O_h_-32_deg,-31.999692858056477,0.02346935445307879,-1.0203911977342828,0.023303534470969643,0.002784937989359715
O_h_-30_deg,-30.0000701530499,0.025649592017275333,-1.040584550180265,0.025536980200952266,0.0024008775205841427
O_h_-28_deg,-28.00044744804333,0.028018472114579494,-0.20769100177025487,0.025710012976444086,0.011136876240065936
O_h_-26_deg,-26.000824743036755,0.027441173276269867,-0.11146919307177403,0.024513390778244628,0.012333355720619535
O_h_-24_deg,-24.001202038030186,0.02779171026464011,-0.21282817076383964,0.025480684369007037,0.01109566958415501
O_h_-22_deg,-22.001579333023614,0.026705069426751497,-0.6357760368043931,0.02548608531725529,0.007976226444202912
O_h_-20_deg,-20.00195662801704,0.02770743428733499,-0.06800096786017244,0.02579239843481947,0.010121961162072738
O_h_-18_deg,-18.002333923010465,0.027488045052723755,-0.6674853526808598,0.02707699464967812,0.0047359245730768645
O_h_-16_deg,-16.002711218003892,0.0315818214544934,-0.9594047938795464,0.030731821270503706,0.007277816140939226
O_h_-14_deg,-13.99735893504601,0.02936810550344292,-0.9227145131450216,0.02933732728709385,0.0013441906528810933
O_h_-12_deg,-11.997736230039438,0.028571408978678155,-0.477510630007457,0.02845758233700712,0.0025478262419857374
O_h_-10_deg,-9.998113525032865,0.02926902747288159,-0.2965125525127424,0.02921035827790755,0.0018522792674365513
O_h_-8_deg,-7.9984908200262925,0.02966425773760998,-0.18848135867006738,0.02966405604114612,0.0001093906353209714
O_h_-6_deg,-5.998868115019719,0.03115964935899358,-0.4347703488291809,0.03113902504631336,0.0011335198897674003
O_h_-4_deg,-3.9992454100131463,0.030884937733496442,-0.7130139542516126,0.030869908590951352,-0.0009633910879079278
O_h_-2_deg,-1.9996227050065731,0.03250970047514823,-0.3283963361495831,0.03250822172789416,0.0003100726913531954
O_h_0_deg,0.0,0.034198456405711425,-0.5166246657695212,0.0340301255061191,-0.00338894947898711
O_h_2_deg,1.9996227050065731,0.03365044844117565,-0.33629673386617925,0.03331797578861402,-0.004718598270837535
O_h_4_deg,3.9992454100131463,0.0330549218289283,-0.558509012725068,0.0323029016021116,-0.007010734997192275
O_h_6_deg,5.998868115019719,0.031840093595812816,-0.28776055512308274,0.03132066223687894,-0.005727798637650076
O_h_8_deg,7.9984908200262925,0.03247958359079038,0.05533327586700923,0.031931538361442025,-0.00594139782398858
O_h_10_deg,9.998113525032865,0.030836193975440875,-0.1973651202566879,0.03010107226252084,-0.006693004373038647
O_h_12_deg,11.997736230039438,0.0316475051095595,-0.4190439115381988,0.030757337428063455,-0.0074532391613205025
O_h_14_deg,13.99735893504601,0.02912064251577893,-0.4987045067368671,0.02828584444149752,-0.006922631346763687
O_h_16_deg,16.002711218003892,0.027858275482802574,-0.8007861052354489,0.026534165969733976,-0.008486551076045564
O_h_18_deg,18.002333923010465,0.027613297364543432,-0.7649888728442357,0.026830914578511753,-0.006526577527564244
O_h_20_deg,20.00195662801704,0.026354675165352292,-1.1378404660850143,0.024280739540164454,-0.010247662682481857
O_h_22_deg,22.001579333023614,0.0260103556066248,-1.1314668044545209,0.025522966029989658,-0.005011666770154641
O_h_24_deg,24.001202038030186,0.02458563343740602,-1.5584630005958537,0.021695955877898503,-0.011564552307062239
O_h_26_deg,26.000824743036755,0.02458247159358249,-1.5742333366279275,0.023373783278249682,-0.007613420053478306
O_h_28_deg,28.00044744804333,0.023892354727032303,-1.4032759342193166,0.02110888196131109,-0.011191948746566807
O_h_30_deg,30.0000701530499,0.023060599026694675,-1.8943230292129778,0.02165569336931289,-0.007926043916373988
O_h_32_deg,31.999692858056477,0.022152333430661194,-1.543914922117942,0.020902941125524186,-0.007334366279785812
O_h_34_deg,33.99931556306305,0.02226372317058743,-1.6425859673206398,0.02103936659651511,-0.007281375051046049
O_h_36_deg,35.99893826806962,0.019734067867060185,-2.1147904766611285,0.017816738738125754,-0.008485119640824549
O_h_38_deg,37.998560973076195,0.018172124065361676,-2.063112021585656,0.016522467755947814,-0.00756532565727093
O_h_40_deg,39.998183678082775,0.01947480680993865,-1.6977335547889603,0.019174337478528338,-0.0034077679709652127
