run_name,k_v,distance_first_to_last,orientation_change_deg,displacement_x_local,displacement_y_local
k_v_0.05,0.0500222816399287,0.010449974382103015,-144.47756885008155,0.005546564545677959,0.008856499665626232
k_v_0.10,0.1000445632798574,0.016377440952717617,-181.6459871244077,0.01577457798661832,-0.004402642559173842
k_v_0.15,0.1499554367201426,0.03896069336787431,-209.45586259960112,-0.0024472446605269572,0.03888375780807518
k_v_0.20,0.1999777183600713,0.03163551242260191,-230.4175583146671,-0.02560692090534398,0.018576631771880965
k_v_0.25,0.25,0.09232758531529518,-242.19128997179968,-0.014026302135938522,0.09125593601812693
k_v_0.30,0.3000222816399287,0.03961757466335351,-252.98983601242065,0.039585532505856724,0.0015930594571923543
k_v_0.35,0.3500445632798574,0.027788887779941544,-254.63692950914592,0.008133179439793173,0.026572046896058084
k_v_0.40,0.3999554367201426,0.053820497753049715,-254.21738158632962,0.03141841424269455,0.04369816042879239
k_v_0.45,0.4499777183600713,0.05347690984831677,-245.58198768096315,-0.009075570058399596,0.05270117565140345
k_v_0.50,0.5,0.005716857201003443,-228.34162203413968,0.004676562146647411,0.0032881944506384497
k_v_0.55,0.5500222816399287,0.01497922346359369,-203.65051162098248,-0.007497235244059987,0.012967983623813708
k_v_0.60,0.6000445632798574,0.01136074011452071,-184.9410290078951,0.0035874054711711525,0.010779468351226387
k_v_0.65,0.6499554367201427,0.02437799813210019,-180.31309932725816,-0.007480064726425672,0.023202056473880992
k_v_0.70,0.6999777183600713,0.007453832902394328,-158.1157072731571,0.0018679694558643377,-0.00721597637529213
k_v_0.75,0.7500000000000001,0.007068565463304294,-138.01421762448567,-0.0025651640823910267,0.006586694993654197
k_v_0.80,0.8000222816399287,0.0169136552414854,-113.19164205285564,-0.0023666537840549805,0.016747258984509822
k_v_0.85,0.8500445632798574,0.023406964552455035,-89.75608404767088,0.018425824731394733,0.014435199081682552
k_v_0.90,0.8999554367201426,0.02298136376522755,-72.58506549310162,-0.01802698976172755,0.014253796709658944
k_v_0.95,0.9499777183600714,0.04460036723320314,-52.68186047557204,0.0035281252116529903,0.044460601545947165
k_v_1.00,1.0,0.011381829019726302,-33.24320902159788,0.007451739272364158,-0.008603348978798282
k_v_1.05,1.0500222816399287,0.21496328520826632,-17.05150304627446,0.05297575993013601,0.20833334550031846
k_v_1.10,1.1000445632798574,0.28513284362168506,-7.382532448394123,-0.1976305250387349,0.20553081054844863
k_v_1.15,1.1499554367201428,0.30277575677968094,1.0684977095904424,-0.2911806114519742,-0.08298801364030166
k_v_1.20,1.1999777183600713,0.27637395894528316,4.5936786348901855,-0.24230241749441736,-0.13293646474707432
k_v_1.25,1.2500000000000002,0.24426150286165757,8.096521885170292,-0.1584810806984549,-0.18586938650806747
k_v_1.30,1.3000222816399287,0.2733330143497282,0.6649820857187623,-0.271752039557641,-0.029355846602866102
k_v_1.35,1.3500445632798574,0.2600507438130404,1.9465692963450612,-0.2590552683031622,-0.02273229689433493
k_v_1.40,1.3999554367201426,0.21438406905734855,-2.9666424833736094,-0.18347666586830608,0.11089112745136989
k_v_1.45,1.4499777183600715,0.1629827848783485,-13.05535962938549,-0.03792374754760576,0.1585092348686583
k_v_1.50,1.5000000000000002,0.08371030148694046,-22.426515636604105,0.07359925235582328,0.03988188345224319
k_v_1.55,1.5500222816399287,0.025208614589672395,-34.35334594288471,-0.01715878471381188,-0.018467548745724205
k_v_1.60,1.6000445632798574,0.04990319903246678,-48.203735949846106,-0.01357858852452103,0.04802032077522742
k_v_1.65,1.6499554367201428,0.022620986301998765,-59.912804123501736,0.014937023617505225,-0.016988064831678355
k_v_1.70,1.6999777183600715,0.01057974173990337,-70.65787035123257,-0.00978112157323149,0.0040324429385571086
k_v_1.75,1.75,0.02421677452507458,-79.59049114803192,-0.0036001724684451546,0.023947670588091666
k_v_1.80,1.8000222816399287,0.009106285210085531,-84.32978841135815,0.004468337380458969,0.007934632403698079
k_v_1.85,1.8500445632798577,0.016649105857335894,-86.69481687728914,0.014546323419055047,0.008099209889676095
k_v_1.90,1.8999554367201428,0.010397174070638239,-89.39757600796428,0.007001519657059003,-0.007686348362321898
k_v_1.95,1.9499777183600713,0.01468196080568524,-88.52047623127714,0.013100759965380755,0.006627975666005003
k_v_2.00,2.0,0.008885245642023202,-81.35448347615689,-0.004321719991757603,0.0077633965782983785
k_v_2.05,2.050022281639929,0.008765230904355093,-79.87135041045204,-0.0038856371573777497,0.007856913941737365
k_v_2.10,2.1000445632798574,0.007418372968620235,-70.9273835625956,-0.006769702790718666,-0.003033707571090414
