run_name,A_h_deg,distance_first_to_last,orientation_change_deg,displacement_x_local,displacement_y_local
A_h_4_deg,3.9992454100131463,0.0005764445186491465,-32.370874514749175,-0.0005606810091493007,-0.000133884610990091
A_h_6_deg,5.998868115019719,0.0024934140315554538,-38.11999877463448,0.0023547659647876725,-0.0008198724192428983
A_h_8_deg,7.9984908200262925,0.005433677353412576,-50.51140725402331,0.0008182090997446725,-0.005371720715942305
A_h_10_deg,9.998113525032865,0.0032808961821115157,-63.23945718702019,-0.0032169889408374484,-0.000644408187660176
A_h_12_deg,11.997736230039438,0.00187256592911228,-75.28683849745465,0.0014348661901860695,-0.0012031883373491664
A_h_14_deg,13.99735893504601,0.0060445151161573766,-87.52982691298129,-0.005489160874566041,-0.002530864651179198
A_h_16_deg,16.002711218003892,0.0037145946238661114,-98.68877249544977,-0.001002853174699121,0.0035766602759628864
A_h_18_deg,18.002333923010465,0.004944808184866406,-111.06228109847379,-0.003188051580225908,-0.0037798750120792216
A_h_20_deg,20.00195662801704,0.016727837701237248,-120.65474292277514,0.0041115298336538405,-0.016214680896826456
A_h_22_deg,22.001579333023614,0.004292350224031933,-134.09094202023482,-0.0037740265908589553,-0.002044747841968911
A_h_24_deg,24.001202038030186,0.0019961235995377895,-148.2247729050667,0.0015136322286590528,-0.001301317371357322
A_h_26_deg,26.000824743036755,0.011899264367422635,-158.1718160048873,0.0028945997076938786,-0.011541827629021
A_h_28_deg,28.00044744804333,0.0052034637879986865,-179.0932938729246,0.0008583996493095564,0.005132171610057371
A_h_30_deg,30.0000701530499,0.016965480390913768,-183.55016509014825,0.000771298803143505,-0.016947938607711235
A_h_32_deg,31.999692858056477,0.01120146697211887,-203.05830042077142,-0.011181397754643314,-0.0006702287519402246
A_h_34_deg,33.99931556306305,0.012742575685432883,-218.65155530852644,0.006726420015921156,-0.01082259252066715
A_h_36_deg,35.99893826806962,0.018953211485179602,-235.82885585747124,-0.018946538650190244,0.0005028904242390074
A_h_38_deg,37.998560973076195,0.010666794365378637,-259.85689902635585,0.010105723562012052,-0.003413920520672368
A_h_40_deg,39.998183678082775,0.0745411530644587,-274.30720619597093,-0.06759267439776921,0.03142632444203768
A_h_42_deg,41.99780638308934,0.03191356576889704,-294.46322701425464,-0.005774070974220904,0.031386872804890525
A_h_44_deg,43.99742908809592,0.1223534875006989,-314.4459207241565,-0.05897329801346661,0.10720319969571121
A_h_46_deg,46.00278137105379,0.43072996455656903,-343.9003781921989,-0.08198954255773652,0.4228546053646292
A_h_48_deg,48.00240407606037,0.6894568906159052,-366.8892762386349,0.6728089836845665,0.1505950712709182
A_h_50_deg,50.002026781066945,0.12081865944836587,-398.2365140363176,0.1205268545647456,-0.008392008080839099
A_h_52_deg,52.00164948607351,0.06619577035928649,-424.5312932488494,-0.0635336351441553,-0.018583789140773868
A_h_54_deg,54.00127219108009,0.1048217015155568,-462.08976522538495,0.025737176203002744,-0.10161292668608689
A_h_56_deg,56.00089489608666,0.08060758959508424,-478.84493561507514,-0.07802273006072799,-0.0202493726865872
A_h_58_deg,58.000517601093236,0.024906263337593892,-525.3433737145209,-0.0014840610602354955,0.02486200949664098
A_h_60_deg,60.0001403060998,0.006990094306284298,-542.1598645404304,-0.002385843519067527,-0.006570324886432302
