run_name,delta,distance_first_to_last,orientation_change_deg,displacement_x_local,displacement_y_local
delta_-20_deg,-0.3491,0.027256603353723128,-5.295146656096566,0.02460814036871612,-0.011720147352988146
delta_-19_deg,-0.3316,0.026948732757911955,-5.48730182641012,0.023226906521042447,-0.013665467819292275
delta_-18_deg,-0.3142,0.026520948409825596,-5.67017494792368,0.02307471603837661,-0.013073568155056838
delta_-17_deg,-0.2967,0.02687554520970702,-5.680417097627569,0.023577364372799357,-0.012899721685030945
delta_-16_deg,-0.2793,0.026038702920951732,-5.384222182226881,0.0231585016830088,-0.011903690587530352
delta_-15_deg,-0.2618,0.028684037317442953,-5.191144280984485,0.024968975840757954,-0.014118223765477913
delta_-14_deg,-0.2443,0.02915181213949206,-4.937439111875918,0.025472179019259047,-0.014177314520989366
delta_-13_deg,-0.2269,0.02919183345011269,-4.849209930901184,0.025918021297189266,-0.01343202561855664
delta_-12_deg,-0.2094,0.030043238174854783,-4.6572626989216905,0.027908450630674975,-0.011122703961997249
delta_-11_deg,-0.192,0.030359613639678932,-4.415075043361452,0.028382147267398287,-0.010777748226892994
delta_-10_deg,-0.1745,0.031151663357009765,-4.137897941463036,0.02891456411032784,-0.011591984826517247
delta_-9_deg,-0.1571,0.031699551020543594,-3.8688319896112096,0.029905449755666204,-0.01051311608493746
delta_-8_deg,-0.1396,0.0327451143862379,-3.66279839407906,0.03106077978446746,-0.010366796773768738
delta_-7_deg,-0.1222,0.031865189144317164,-3.2173788943050288,0.030692576091998408,-0.008564814769742317
delta_-6_deg,-0.1047,0.033166625170530054,-2.7846275177890623,0.03159125721265765,-0.010100370930126461
delta_-5.5_deg,-0.096,0.033211075070539185,-2.6556594520734538,0.03243648123286398,-0.0071309320969317885
delta_-5_deg,-0.0873,0.033389803481015945,-2.4193060734164704,0.03259553932904655,-0.007239460777533388
delta_-4.5_deg,-0.0785,0.034300911711742654,-2.240590360021266,0.033321401516540866,-0.008138596023285132
delta_-4_deg,-0.0698,0.033024378836914794,-2.0444796777786127,0.03254093877861422,-0.005630000086194245
delta_-3.5_deg,-0.0611,0.034621773523165734,-1.9360077742007546,0.03428425605248841,-0.004822550032585628
delta_-3_deg,-0.0524,0.03423671824176086,-1.5692656058839356,0.03382921677428273,-0.005266589826852731
delta_-2.5_deg,-0.0436,0.0345644501503256,-1.3777900031823385,0.03437521116644778,-0.003611934586404814
delta_-2_deg,-0.0349,0.03415391778500259,-1.2729147744056093,0.033965571608615464,-0.0035819052702062196
delta_-1.5_deg,-0.0262,0.03378052598682538,-1.045975266489436,0.03357883830569446,-0.0036858586498414734
delta_-1_deg,-0.0175,0.033609177561157104,-0.9354593397661147,0.0332421390102649,-0.004953484668353244
delta_-0.5_deg,-0.0087,0.03460957209138405,-0.6543278913365105,0.0343857956659324,-0.003929317595900627
delta_0_deg,0.0,0.0341325576541287,-0.4329911268321614,0.033960890216364004,-0.003418980509522049
delta_0.5_deg,0.0087,0.03355991012059102,-0.3132136681893131,0.033530437018835395,-0.0014061865552125424
delta_1_deg,0.0175,0.03493426881713956,-0.3902203442265214,0.03483318537288633,-0.002655623197350797
delta_1.5_deg,0.0262,0.034719066684743054,-0.06389217849620597,0.03468081129795553,-0.0016293922717490522
delta_2_deg,0.0349,0.035256806237850075,0.40435394683037557,0.035236820609950995,0.0011869538303727794
delta_2.5_deg,0.0436,0.03490650351336602,0.1042370375143809,0.03489695995310101,-0.0008161945603217954
delta_3_deg,0.0524,0.03594295409286438,0.644057789234717,0.03586983373201701,0.0022915010275386103
delta_3.5_deg,0.0611,0.03536379716848808,0.6174388175582637,0.03533750303229918,0.001363462363327911
delta_4_deg,0.0698,0.03582228338716258,1.1125928401527725,0.03546190189259082,0.005068481156169758
delta_4.5_deg,0.0785,0.03632617756315077,1.3350505225849636,0.03605752073465054,0.004409804397000539
delta_5_deg,0.0873,0.03740944098207804,1.5309989198308949,0.0368737185526724,0.006308340089903517
delta_5.5_deg,0.096,0.03693494010994525,1.77896168089168,0.03630676213561379,0.0067829804771356444
delta_6_deg,0.1047,0.03790012201039785,1.759835566916614,0.03737953086514675,0.006260185357046943
delta_7_deg,0.1222,0.039812874411632476,2.3713396796094655,0.03863055890905949,0.009630414699799
delta_8_deg,0.1396,0.03959866159323556,2.7009589022288774,0.037959187881928785,0.01127626069759031
delta_9_deg,0.1571,0.04041810352968859,3.082961406348566,0.03869079918992726,0.011689531683576964
delta_10_deg,0.1745,0.04268360078603062,3.8985288419343576,0.04034179292346317,0.013943798613779888
delta_11_deg,0.192,0.04345652589655853,4.81981223248724,0.03977588175908051,0.017502824723052795
delta_12_deg,0.2094,0.0442320152338119,5.233207109036468,0.040579227352948166,0.017601064714440187
delta_13_deg,0.2269,0.04332574989549328,5.409324814859953,0.038288456595479116,0.020275963492346
delta_14_deg,0.2443,0.04427249544597951,5.69840682350638,0.03914484790914654,0.02068174884249548
delta_15_deg,0.2618,0.044186268073739085,6.01171074102451,0.03808955967879307,0.0223966901518951
delta_16_deg,0.2793,0.04381137106415109,6.4710055244879285,0.03694207767917119,0.023552476117529926
delta_17_deg,0.2967,0.043471783651467505,6.935087213588309,0.03595890905890596,0.02442852498890034
delta_18_deg,0.3142,0.04450541257216577,6.843896001453084,0.03706825331758203,0.024630800721906296
delta_19_deg,0.3316,0.04361765956502558,6.717542309965672,0.03758549577898588,0.022132119938638988
delta_20_deg,0.3491,0.043573718411207676,6.892779060840488,0.036811757712829636,0.02331444681460718
