run_name,delta_phi_vh_deg,distance_first_to_last,orientation_change_deg,displacement_x_local,displacement_y_local
phi_vh_-360_deg,-360.00084183659885,0.024072231067918778,-6.103583949801418,0.017427466762149502,-0.016605893858550592
phi_vh_-355_deg,-354.99892028510675,0.024662862606799507,-5.872059810688587,0.018959626673895762,-0.015773057672764965
phi_vh_-350_deg,-350.002728311566,0.028102348437020676,-5.670526259524376,0.021988620317384966,-0.017499787547670502
phi_vh_-345_deg,-345.0008067600739,0.030650365975856932,-4.610170310242152,0.023837107278239355,-0.01926751803060469
phi_vh_-340_deg,-339.9988852085818,0.03272026310935477,-4.298642295149282,0.02789003233928504,-0.017110280946233392
phi_vh_-335_deg,-335.002693235041,0.03461780719659064,-3.4998509009601846,0.031316288337557445,-0.014754072653314635
phi_vh_-330_deg,-330.0007716835489,0.03585028168226216,-2.8947539809718172,0.033671275126860765,-0.012308043225013016
phi_vh_-325_deg,-324.9988501320569,0.03692170818923302,-1.962965728310063,0.03509046496816565,-0.011483544919963371
phi_vh_-320_deg,-320.00265815851606,0.03833815956017686,-0.9396547505775235,0.03759885597118096,-0.007492696985730164
phi_vh_-315_deg,-315.000736607024,0.03961712593540044,-0.01467366217836375,0.03904142179118768,-0.006729342605630515
phi_vh_-310_deg,-309.9988150555319,0.0415756181498086,1.0756331183342884,0.041566779240515474,0.0008572561513025456
phi_vh_-305_deg,-305.0026230819911,0.04080789561199258,2.0688644743419875,0.04071546176803654,0.0027450896697263374
phi_vh_-300_deg,-300.00070153049904,0.040589381115793056,3.0275609937662074,0.0394993421580173,0.009343437721041181
phi_vh_-295_deg,-294.99877997900694,0.03979744266082061,3.7497488272200186,0.03847283579731834,0.010182207425400672
phi_vh_-290_deg,-290.0025880054662,0.03808633071740587,4.169678475747013,0.03620804825503489,0.011812951751221174
phi_vh_-285_deg,-285.0006664539741,0.03486282323508778,5.12470353840788,0.03303710249215553,0.011134015575873188
phi_vh_-280_deg,-279.998744902482,0.03252723345558425,6.219224928060709,0.02902265465198923,0.014686947716440173
phi_vh_-275_deg,-275.0025529289412,0.030108130917809048,6.6122078021748445,0.026418181541071773,0.014442272377534763
phi_vh_-270_deg,-270.0006313774491,0.027714213274199494,7.4302602536966225,0.02472978332808909,0.012510612852837475
phi_vh_-265_deg,-264.99870982595706,0.02590171179446137,7.207375921846814,0.022466646705448894,0.01288985879270528
