run_name,A_h_deg,distance_first_to_last,distance_consecutive_sum,orientation_change_rad,skip_cycles
A_h_4_deg,3.9992454100131463,0.0379035102853325,0.03793122446944023,0.1357017678554706,10.0
A_h_6_deg,5.998868115019719,0.05363981059939483,0.05367900825867094,0.1491451354285096,10.0
A_h_8_deg,7.9984908200262925,0.06331438509442076,0.06341176283149019,0.18636375694842466,10.0
A_h_10_deg,9.998113525032865,0.07670353374831745,0.07679990023443505,0.1880672697366701,10.0
A_h_12_deg,11.997736230039438,0.09426305140881251,0.09457127051217146,0.262564162648238,10.0
A_h_14_deg,13.99735893504601,0.11312978467426985,0.11344503915993054,0.310101845226431,10.0
A_h_16_deg,16.002711218003892,0.13263012412758413,0.13322086969151417,0.36182264801911357,10.0
A_h_18_deg,18.002333923010465,0.12748605208241987,0.12851622920376923,0.323569502999987,10.0
A_h_20_deg,20.00195662801704,0.15395180428671626,0.15511423217329195,0.410269717913577,10.0
A_h_22_deg,22.001579333023614,0.1582002338800728,0.15960500686607296,0.4551650607177318,10.0
A_h_24_deg,24.001202038030186,0.2031347821784333,0.20471871108430212,0.46718864720872766,10.0
A_h_26_deg,26.000824743036755,0.22497078939081488,0.22858383543545155,0.5882629279630227,10.0
A_h_28_deg,28.00044744804333,0.22136751722128079,0.22431153932731143,0.5631287212101344,10.0
A_h_30_deg,30.0000701530499,0.22069990616445517,0.22548126824417541,0.6516905512932318,10.0
A_h_32_deg,31.999692858056477,0.2411006393037834,0.24758173694215527,0.6598694769974243,10.0
A_h_34_deg,33.99931556306305,0.25035326215591985,0.2580881048795322,0.6526466927436476,10.0
A_h_36_deg,35.99893826806962,0.32152634544164377,0.3322084732382307,0.7291278204920258,10.0
A_h_38_deg,37.998560973076195,0.30997164957201634,0.32140372882237866,0.792608179665165,10.0
A_h_40_deg,39.998183678082775,0.3229086820204922,0.33553630698095077,0.7521253796732665,10.0
A_h_42_deg,41.99780638308934,0.33469472576492243,0.3514857372848583,0.8176117921599384,10.0
A_h_44_deg,43.99742908809592,0.3888924794289718,0.3993743392083131,0.8412391051284986,10.0
A_h_46_deg,46.00278137105379,0.3744882752821878,0.3923891623118327,0.8856440735771776,10.0
A_h_48_deg,48.00240407606037,0.37339335243722455,0.39478666026639514,0.9199720074689672,10.0
A_h_50_deg,50.002026781066945,0.45487509894430794,0.48699994564499627,1.1398145948639558,10.0
A_h_52_deg,52.00164948607351,0.4339222982154131,0.45641958145441563,1.0889801351558495,10.0
A_h_54_deg,54.00127219108009,0.45614905677698253,0.4800577280337002,1.0552636904869837,10.0
A_h_56_deg,56.00089489608666,0.4909468052838468,0.5228157616596382,1.1196324836687892,10.0
A_h_58_deg,58.000517601093236,0.4766414495116754,0.5224625355884132,1.1990630311682464,10.0
A_h_60_deg,60.0001403060998,0.5263497223327934,0.5677430428210465,1.4070561668018033,10.0
A_h_4_deg,3.9992454100131463,0.0375130205939796,0.03754097214138852,0.13495023371766734,10.1
A_h_6_deg,5.998868115019719,0.05295769674844709,0.05299492831196086,0.15005129240378445,10.1
A_h_8_deg,7.9984908200262925,0.06174678215828772,0.06182475328405914,0.18591225124635535,10.1
A_h_10_deg,9.998113525032865,0.07513353414629276,0.07521441465226589,0.18728310155097816,10.1
A_h_12_deg,11.997736230039438,0.09203364826703574,0.09230958327182627,0.2630206427171279,10.1
A_h_14_deg,13.99735893504601,0.1129856528772751,0.11329514373937549,0.31192686056551366,10.1
A_h_16_deg,16.002711218003892,0.1312272281742899,0.13179771803202953,0.362068706924806,10.1
A_h_18_deg,18.002333923010465,0.12928341342950717,0.13024767116772493,0.3251486486751496,10.1
A_h_20_deg,20.00195662801704,0.14938006541840584,0.15027466056488142,0.41100904793318627,10.1
A_h_22_deg,22.001579333023614,0.15682698181776375,0.1581256059774415,0.4572315108494265,10.1
A_h_24_deg,24.001202038030186,0.20342283568209285,0.2050517658446264,0.4689444644580507,10.1
A_h_26_deg,26.000824743036755,0.2214268409476481,0.2247143867550971,0.5902592195739511,10.1
A_h_28_deg,28.00044744804333,0.22236672909879793,0.22547018648499223,0.564860259706165,10.1
A_h_30_deg,30.0000701530499,0.21471489358508508,0.21862402225704006,0.6519594299950668,10.1
A_h_32_deg,31.999692858056477,0.23812829270074756,0.24412443661807673,0.655819118130808,10.1
A_h_34_deg,33.99931556306305,0.2480231787615238,0.2554737517464941,0.6520562186737506,10.1
A_h_36_deg,35.99893826806962,0.3203822474006387,0.3306133391659436,0.7269499955357922,10.1
A_h_38_deg,37.998560973076195,0.3074249190634306,0.31810148039253583,0.788474068723386,10.1
A_h_40_deg,39.998183678082775,0.3170720687473178,0.3283941501057027,0.7501620030892973,10.1
A_h_42_deg,41.99780638308934,0.3307660911999992,0.34609619207146036,0.8094127754934362,10.1
A_h_44_deg,43.99742908809592,0.3814455170276728,0.3906470795392103,0.8419622775231126,10.1
A_h_46_deg,46.00278137105379,0.36907699471542155,0.3859757507455441,0.8879051197331301,10.1
A_h_48_deg,48.00240407606037,0.3667607094028295,0.3871897318078067,0.9228436843639662,10.1
A_h_50_deg,50.002026781066945,0.45659098093500083,0.4910160476294922,1.1369003354383092,10.1
A_h_52_deg,52.00164948607351,0.44696820531154896,0.4715274960340968,1.0890114054116795,10.1
A_h_54_deg,54.00127219108009,0.4449805082809947,0.4667584735314172,1.058103525882585,10.1
A_h_56_deg,56.00089489608666,0.48094067143167407,0.5108108145439697,1.1218222178959265,10.1
A_h_58_deg,58.000517601093236,0.4844455563072206,0.5282620879007671,1.1904162114188934,10.1
A_h_60_deg,60.0001403060998,0.5200971453906263,0.5576946187604701,1.40220129828288,10.1
A_h_4_deg,3.9992454100131463,0.037226999027444654,0.03725685665484891,0.13419024307134864,10.2
A_h_6_deg,5.998868115019719,0.05266835986666954,0.052703511619100626,0.1510027870800521,10.2
A_h_8_deg,7.9984908200262925,0.06122235041241561,0.06129267223666251,0.18564374225432378,10.2
A_h_10_deg,9.998113525032865,0.07449769850064529,0.07457418768643931,0.18676609994469207,10.2
A_h_12_deg,11.997736230039438,0.09210412694484527,0.09238016192856421,0.26347567141077155,10.2
A_h_14_deg,13.99735893504601,0.1131559050929829,0.11345450751255656,0.31366522869566804,10.2
A_h_16_deg,16.002711218003892,0.1303208657990733,0.1309059464911518,0.36246464697876213,10.2
A_h_18_deg,18.002333923010465,0.13380351135719165,0.134705572312548,0.3267693340160349,10.2
A_h_20_deg,20.00195662801704,0.1476493270358165,0.14849444446540844,0.4117799039139043,10.2
