run_name,K_p,distance_first_to_last,orientation_change_deg,displacement_x_local,displacement_y_local,path_rms_xtrack_m,path_mean_xtrack_m,path_max_xtrack_m,path_covered_arc_m,path_avg_speed_m_s
K_p_0.2,0.2,0.04143032800435184,4.827634858913488,0.03789776288672152,0.016740120869635753,0.06051189468002447,0.048659839780256425,0.1106029953344303,1.6199712807646351,0.00756995925590951
K_p_0.4,0.4,0.04223463298393358,5.9901318884053145,0.03710785552327692,0.02016857163388566,0.024111392372768617,0.02115429986571389,0.04229719775738394,1.710892701814236,0.008039909313036822
K_p_0.6,0.6,0.04075021783839875,5.48429581217731,0.03488985633901336,0.02105417247293184,0.014483752089440359,0.012503221197707621,0.031114423748171964,1.714759503066411,0.008092305347175135
K_p_0.8,0.8,0.040422180865978215,5.120684608595926,0.03536430944390499,0.019578516887588472,0.00860875358531171,0.00709230320469386,0.022369399087976048,1.776715513517332,0.008120271999622177
K_p_1.0,1.0,0.042041890572792756,5.750606932371241,0.03680809380346889,0.02031464480343466,0.008466320064852992,0.006644079211308061,0.021954224337320825,1.7417889366183248,0.008052653428656147
K_p_1.2,1.2,0.04005160635906283,5.114308254225086,0.03437389982028478,0.020556414645709703,0.011974266191397753,0.009520541676563576,0.028330697954797795,1.7127275408016274,0.008007141378221727
K_p_1.4,1.4,0.04209853403269121,4.839312571524029,0.036912456282045945,0.02024245881625321,0.014574836468688533,0.011461532751071282,0.033893357860828845,1.72428633440692,0.008091442207446833
K_p_1.6,1.6,0.0423870730261888,5.815162827838133,0.03700982631920195,0.020662446988436986,0.0047422908545123954,0.003524937137537277,0.01527571524914108,1.7727146063493717,0.008262477773709493
K_p_1.8,1.8,0.04194544959069901,5.304963270170532,0.03735010590552393,0.019089010718526467,0.00608359470863444,0.004739446894505845,0.01861898868815063,1.7826859448154153,0.008217035929086956
K_p_2.0,2.0,0.041294712729148995,5.328788336694057,0.03627337851014357,0.019735635557103174,0.00490435335126593,0.003820229473347739,0.014690500488433754,1.7720908648291949,0.008171966173987525
K_p_2.2,2.2,0.04304969398197156,5.286170476083317,0.039322464978982265,0.01752198333289104,0.011499007310191923,0.008505141799529716,0.030331883981680307,1.7492743726641204,0.008197162008735335
K_p_2.4,2.4,0.04188081034705186,5.189431501383958,0.03689615730056036,0.019816050357678038,0.006582655894552198,0.00506367771692846,0.019471354164805117,1.8091641947626689,0.008276139957743225
K_p_2.6,2.6,0.041369747811421616,5.321353782293585,0.03683267764865594,0.018836398042375954,0.0038696498999627764,0.002866260492954802,0.014002345887092595,1.7985849694946465,0.00827696718589345
K_p_2.8,2.8,0.04105834573704223,5.157049065051479,0.035929398026919926,0.019871238312839396,0.003379757507179088,0.002761277435801364,0.009009138288039092,1.7748760671377941,0.008182923315526943
K_p_3.0,3.0,0.04086296999599951,5.645691894382683,0.034419439548870716,0.02202463389106823,0.011226685114516886,0.008232339428160124,0.03155737673682921,1.7557247144630843,0.008192835811773607
K_p_3.2,3.2,0.04139026904674719,5.169690480283148,0.0377441135325305,0.016986355271380787,0.005580679249760227,0.004350504120872731,0.015459323204065513,1.7507868581011257,0.008238996979299414
K_p_3.4,3.4,0.04168786230893631,5.407694676103236,0.03729556885380854,0.018625745830963637,0.004439533775417358,0.0034131901692326687,0.014525108916219538,1.7954622984901214,0.00838022076308108
K_p_3.6,3.6,0.041354052805749726,5.005144794310129,0.03696623589340743,0.01853793643676915,0.0038884620039118835,0.0031373266297906647,0.011649516329046984,1.792969909985881,0.008226519430997389
K_p_3.8,3.8,0.041688156991475996,5.161592442939795,0.03782260868486184,0.01753147756516156,0.009424508220710405,0.007329214960350911,0.021599599515493773,1.725773574862796,0.008054952508111066
K_p_4.0,4.0,0.04100795608410635,4.791316680759564,0.03699219228814642,0.017698309860345332,0.005693940872026004,0.004482428332555405,0.016746374113506733,1.7294930588406092,0.008108265629820016
K_p_4.2,4.2,0.04160545833995671,4.9939046269816885,0.0377407842304758,0.01751134972943386,0.004375223508173453,0.0035109116200012108,0.013239186562065814,1.7842439501053229,0.00825083907563155
K_p_4.4,4.4,0.04116626835177333,5.06968177936086,0.03684041365143886,0.018369691668645168,0.0051768177585559995,0.0037022700620517887,0.01855995733395478,1.7985972058577284,0.008244772889560983
K_p_4.6,4.6,0.041988048622239864,5.49102688066342,0.037101125239713026,0.01965967276051937,0.005019057586299286,0.0035108857971403976,0.018027036606583245,1.727526820481647,0.008206778244568395
K_p_4.8,4.8,0.04120312574550725,5.3637155270454215,0.03601824241190153,0.020009592318625098,0.004566712482868368,0.003646583428976448,0.014060025398886197,1.5789913351389395,0.008211083386057928
K_p_5.0,5.0,0.03958454886176588,4.442316267583416,0.036075343354337534,0.016294358240083736,0.0035477986502502035,0.002811929377515373,0.010637479125988742,1.559145655371391,0.008143879108756287
