run_name,delta_deg,distance_first_to_last,orientation_change_deg,displacement_x_local,displacement_y_local
delta_-6_deg,-5.998868115019719,0.033166625170530054,-2.7846275177890623,0.03159125721265765,-0.010100370930126461
delta_-5.5_deg,-5.500394833255903,0.033211075070539185,-2.6556594520734538,0.03243648123286398,-0.0071309320969317885
delta_-5_deg,-5.001921551492087,0.033389803481015945,-2.4193060734164704,0.03259553932904655,-0.007239460777533388
delta_-4.5_deg,-4.497718691776963,0.034300911711742654,-2.240590360021266,0.033321401516540866,-0.008138596023285132
delta_-4_deg,-3.9992454100131463,0.033024378836914794,-2.0444796777786127,0.03254093877861422,-0.005630000086194245
delta_-3.5_deg,-3.50077212824933,0.034621773523165734,-1.9360077742007546,0.03428425605248841,-0.004822550032585628
delta_-3_deg,-3.002298846485514,0.03423671824176086,-1.5692656058839356,0.03382921677428273,-0.005266589826852731
delta_-2.5_deg,-2.498095986770389,0.0345644501503256,-1.3777900031823385,0.03437521116644778,-0.003611934586404814
delta_-2_deg,-1.9996227050065731,0.03415391778500259,-1.2729147744056093,0.033965571608615464,-0.0035819052702062196
delta_-1.5_deg,-1.501149423242757,0.03378052598682538,-1.045975266489436,0.03357883830569446,-0.0036858586498414734
delta_-1_deg,-1.0026761414789407,0.033609177561157104,-0.9354593397661147,0.0332421390102649,-0.004953484668353244
delta_-0.5_deg,-0.49847328176381617,0.03460957209138405,-0.6543278913365105,0.0343857956659324,-0.003929317595900627
delta_0_deg,0.0,0.0341325576541287,-0.4329911268321614,0.033960890216364004,-0.003418980509522049
delta_0.5_deg,0.49847328176381617,0.03355991012059102,-0.3132136681893131,0.033530437018835395,-0.0014061865552125424
delta_1_deg,1.0026761414789407,0.03493426881713956,-0.3902203442265214,0.03483318537288633,-0.002655623197350797
delta_1.5_deg,1.501149423242757,0.034719066684743054,-0.06389217849620597,0.03468081129795553,-0.0016293922717490522
delta_2_deg,1.9996227050065731,0.035256806237850075,0.40435394683037557,0.035236820609950995,0.0011869538303727794
delta_2.5_deg,2.498095986770389,0.03490650351336602,0.1042370375143809,0.03489695995310101,-0.0008161945603217954
delta_3_deg,3.002298846485514,0.03594295409286438,0.644057789234717,0.03586983373201701,0.0022915010275386103
delta_3.5_deg,3.50077212824933,0.03536379716848808,0.6174388175582637,0.03533750303229918,0.001363462363327911
delta_4_deg,3.9992454100131463,0.03582228338716258,1.1125928401527725,0.03546190189259082,0.005068481156169758
delta_4.5_deg,4.497718691776963,0.03632617756315077,1.3350505225849636,0.03605752073465054,0.004409804397000539
delta_5_deg,5.001921551492087,0.03740944098207804,1.5309989198308949,0.0368737185526724,0.006308340089903517
delta_5.5_deg,5.500394833255903,0.03693494010994525,1.77896168089168,0.03630676213561379,0.0067829804771356444
delta_6_deg,5.998868115019719,0.03790012201039785,1.759835566916614,0.03737953086514675,0.006260185357046943
