run_name,k,distance_first_to_last,orientation_change_rad,displacement_x_local,displacement_y_local
k0.5,0.5,0.020524602984649407,0.6404002301972589,0.020458960927676052,0.0016401967678616501
k0.6,0.6000445632798574,0.01338610348697631,0.5847459239426841,0.010138004278697044,-0.00874120333873774
k0.7,0.6999777183600713,0.05293783475917577,0.45930085506005125,-0.04391674479348319,0.029558989761726724
k0.8,0.8000222816399287,0.08936075994668237,0.43428314105753557,-0.05613542733383071,0.06952811817025399
k0.9,0.8999554367201426,0.10242449051045184,0.388801141157883,-0.05996105141098389,0.08303883772076164
k1.0,1.0,0.09284066646001789,0.40421119970889535,-0.022628360514747106,0.09004080546704882
k1.1,1.1000445632798574,0.08650849837236653,0.3880693552989364,-0.046023836926463314,0.07324975580306091
k1.2,1.1999777183600713,0.09475144980499532,0.32324226555308183,-0.008243044954489354,0.09439221074869904
k1.3,1.3000222816399287,0.08054987440641456,0.32175976117514593,-0.010223011742258176,0.07989851248807334
k1.4,1.3999554367201426,0.07835247900528132,0.2729807006929964,0.0018668847291578236,0.07833023495229086
k1.5,1.5000000000000002,0.07531097421071396,0.22599685625389912,0.023175607856730878,0.07165636075770146
k1.6,1.6000445632798574,0.07195772221446606,0.18554403972650207,0.035383950623282354,0.06265692160155474
k1.7,1.6999777183600715,0.05665620981931572,0.153115048921769,0.03734441379833936,0.042606582462675034
k1.8,1.8000222816399287,0.046177740374438475,0.14439331833838837,0.03285918199665191,0.03244468931273581
k1.9,1.8999554367201428,0.04537718074833297,0.12266083485064706,0.03509494770236425,0.028765138248150274
k2.0,2.0,0.045104938297800184,0.13101864796860163,0.033515944867028837,0.030185044285517368
k2.1,2.1000445632798574,0.04341478355979764,0.11873054316956357,0.03642391651302784,0.023625023542761872
k2.2,2.1999777183600715,0.03891976999635078,0.13487392864804706,0.026752984416493836,0.02826705363810817
k2.3,2.3000222816399285,0.03490407997898005,0.13742881054118286,0.026284765440877877,0.022965319612343042
k2.4,2.3999554367201426,0.031616864683436996,0.12873326315619749,0.026377851936939478,0.017430865142145518
k2.5,2.5000000000000004,0.028853632092137958,0.12052052983239524,0.025434745342573433,0.013623722482012476
k2.6,2.6000445632798574,0.029543259462389504,0.11247450767750085,0.026107840970319388,0.013826959880269392
k2.7,2.6999777183600715,0.029035371450507722,0.10392193255578551,0.026527786935759513,0.011803783950916155
k2.8,2.800022281639929,0.027010381274168285,0.09796202288008912,0.023981807926861665,0.012427131009812999
k2.9,2.899955436720143,0.026077746199402282,0.09277366323715198,0.023126860395893217,0.012049779046493177
k3.0,3.0000000000000004,0.02455898633352912,0.09785360208907541,0.021016918566974848,0.012705626457582402
k3.1,3.1000445632798574,0.024338458510505142,0.09493767464671383,0.019559562350582718,0.014483924997087196
k3.2,3.1999777183600715,0.024536406070813668,0.10232088659016486,0.018234193511327292,0.016417959978734614
k3.3,3.300022281639929,0.02373060478029102,0.10437789859991797,0.017474464070085752,0.01605567528015104
k3.4,3.399955436720143,0.022506740612695864,0.10297250346501506,0.01625802540127891,0.015563739366185212
k3.5,3.5,0.022800822866465634,0.10945072251827524,0.015529796611159951,0.016694398479847876
k3.6,3.6000445632798574,0.021443975962125935,0.10609963189637148,0.017406857788403556,0.012523793634459542
k3.7,3.6999777183600715,0.022143815592177592,0.1057731196373647,0.01738324230007221,0.01371756013718721
k3.8,3.8000222816399285,0.02105034476849885,0.10805977724197509,0.01659948070138468,0.012945047520848444
k3.9,3.8999554367201426,0.022523163405213042,0.1323497909507685,0.01812063060213503,0.013376682561789952
k4.0,4.0,0.02404591169990262,0.15089407902901017,0.017432825233864187,0.016562079393755536
