run_name,A_v_deg,distance_first_to_last,orientation_change_deg,displacement_x_local,displacement_y_local
A_v_4_deg,3.9992454100131463,0.03418680630628909,-0.5459355911079533,0.03383405226959722,-0.0048984316308274475
A_v_6_deg,5.998868115019719,0.034635774602974116,-0.6976643088912575,0.03452476239903358,-0.0027708597290920295
A_v_8_deg,7.9984908200262925,0.03451424957139947,-0.4514798226369009,0.03429780320277261,-0.00385928995292267
A_v_10_deg,9.998113525032865,0.0342544789088782,-0.5808185259740739,0.034042863456988405,-0.003801680282141673
A_v_12_deg,11.997736230039438,0.03394725630784854,-0.5260558870508121,0.03367945224477927,-0.00425566767057709
A_v_14_deg,13.99735893504601,0.03358750498627408,-0.6360929348036966,0.03305861466979627,-0.005937043651255862
A_v_16_deg,16.002711218003892,0.034234452123762145,-0.6045157981046121,0.03403966580311703,-0.0036467607854461788
A_v_18_deg,18.002333923010465,0.034319485381117905,-0.47235988323112554,0.034159443841329996,-0.0033105095190601726
A_v_20_deg,20.00195662801704,0.03369744138671402,-0.60348155656103,0.03340119934629454,-0.004458412076078228
A_v_22_deg,22.001579333023614,0.03425152011661106,-0.3718282525340901,0.034190076213981145,-0.0020506873922596183
A_v_24_deg,24.001202038030186,0.03325597722068315,-0.5080342996019134,0.033051303434368164,-0.003683932978749739
A_v_26_deg,26.000824743036755,0.03406274397037378,-0.582588549208314,0.03384368751052148,-0.0038568565544246126
A_v_28_deg,28.00044744804333,0.0344955056991783,-0.5733165692132459,0.03421977070523544,-0.004352838880908922
A_v_30_deg,30.0000701530499,0.03400128620507948,-0.4763447720199265,0.03378133048478403,-0.003861239992221327
A_v_32_deg,31.999692858056477,0.03365914328047597,-0.6110928288551193,0.033596859176619163,-0.0020466997439856196
A_v_34_deg,33.99931556306305,0.03422426224890253,-0.7248285156420278,0.03395939439869724,-0.0042496656992504055
A_v_36_deg,35.99893826806962,0.034731540446023355,-0.5517707456169257,0.034524453948261286,-0.003787080845208095
A_v_38_deg,37.998560973076195,0.033992524203669945,-0.5354913478273288,0.03380045930165088,-0.0036084141578441114
A_v_40_deg,39.998183678082775,0.03377749720240428,-0.5271029857430982,0.03351868128280139,-0.004173406560641878
A_v_42_deg,41.99780638308934,0.03412661343215435,-0.7196963486716159,0.0337494672543479,-0.005059565633075285
A_v_44_deg,43.99742908809592,0.034282147846600504,-0.6409247295476486,0.03390828459272398,-0.005049148141519842
A_v_46_deg,46.00278137105379,0.0340581585101126,-0.5704498261576467,0.03394057844339854,-0.0028275954497534155
A_v_48_deg,48.00240407606037,0.03372851491926115,-0.5647124311985912,0.033488379789231165,-0.004017603483550285
A_v_50_deg,50.002026781066945,0.03427578351269478,-0.3948321945669542,0.03415727225270738,-0.002847821564555269
A_v_52_deg,52.00164948607351,0.03480251501562606,-0.40834087942658337,0.03470025001158643,-0.002666027109065926
A_v_54_deg,54.00127219108009,0.03396072650890367,-0.4811528504076243,0.03377780618969671,-0.003520050287118004
A_v_56_deg,56.00089489608666,0.034881642199457226,-0.5602505028653747,0.03454830063512157,-0.004810809262090277
A_v_58_deg,58.000517601093236,0.033409201097765996,-0.6699637682226602,0.03325699665045955,-0.0031854186196308594
A_v_60_deg,60.0001403060998,0.03332062826891774,-0.48454737042747875,0.03317754635917337,-0.003084588436129268
