time,motor_with_onshape_mounting_x,motor_with_onshape_mounting_y,motor_with_onshape_mounting_2_x,motor_with_onshape_mounting_2_y,motor_with_onshape_mounting_3_x,motor_with_onshape_mounting_3_y,motor_with_onshape_mounting_4_x,motor_with_onshape_mounting_4_y,motor_with_onshape_mounting_5_x,motor_with_onshape_mounting_5_y,motor_with_onshape_mounting_6_x,motor_with_onshape_mounting_6_y,motor_with_no_arms_x,motor_with_no_arms_y,com_x,com_y
0.000000,2.7654182511960566e-08,1.2698557257387868e-05,2.7701008671470394e-08,0.10535680046396227,3.4627535125454666e-07,0.22535680046336642,6.64849693806515e-07,0.34535680046277056,9.834240363293778e-07,0.4653568004621748,1.3019983788351984e-06,0.5853568004615788,1.620572721354885e-06,0.7053568004609827,,
0.061000,2.7654182511960566e-08,1.2698557257387868e-05,2.7701008671470394e-08,0.10535680046396227,3.4627535125454666e-07,0.22535680046336642,6.64849693806515e-07,0.34535680046277056,9.834240363293778e-07,0.4653568004621748,1.3019983788351984e-06,0.5853568004615788,1.620572721354885e-06,0.7053568004609827,,
0.113000,2.7654182511960566e-08,1.2698557257387868e-05,2.7701008671470394e-08,0.10535680046396227,3.4627535125454666e-07,0.22535680046336642,6.64849693806515e-07,0.34535680046277056,9.834240363293778e-07,0.4653568004621748,1.3019983788351984e-06,0.5853568004615788,1.620572721354885e-06,0.7053568004609827,,
0.158000,0.004020965360585049,0.002912731172127844,2.7701008671470394e-08,0.10535680046396227,3.4627535125454666e-07,0.22535680046336642,6.64849693806515e-07,0.34535680046277056,9.834240363293778e-07,0.4653568004621748,1.3019983788351984e-06,0.5853568004615788,1.620572721354885e-06,0.7053568004609827,,
0.205000,0.0057056800213069305,0.006352975834268303,-0.0030700822340901336,0.1103826680584854,-0.024096987712678854,0.2285260043879463,0.004517796108519201,0.3450642396132869,-0.004953176097678774,0.4646898050037018,-0.025979761080161454,0.5828331983735267,0.0026351187614472643,0.6993714100219138,-0.007967345410697681,0.3628984189032524
0.255000,0.007414693590559739,0.007856438580193435,-0.0047795664748869135,0.11191465581145367,-0.025163867348601477,0.23016960792286084,0.004459448055800744,0.34645470418879065,-0.008981727317449572,0.4656985069875239,-0.029365665359740906,0.583953521640732,0.00025770770326953227,0.7002386032185425,-0.01133759905019303,0.36369222242093024
0.305000,0.010558004329377887,0.009511562894159279,-0.006444865660079024,0.1129529743156386,-0.024856497076635998,0.23153210029724003,0.006021520151354782,0.34749133047295033,-0.012350387043009444,0.4660766175621595,-0.030761602057454995,0.5846558081971549,0.00011641550961789641,0.7006150382825733,-0.00890059715827659,0.3642926474579973
0.355000,0.012508186185565836,0.010464041714059619,-0.007459560022014349,0.1135283420890576,-0.02430387380250526,0.2323386681575043,0.006891051760458819,0.34821166160780254,-0.015230558667713848,0.46615342953119104,-0.03207442052481399,0.5849638196697502,-0.0008795387692131715,0.7008368249132899,-0.010946912793429691,0.3651306648100345
0.405000,0.014895334296770703,0.010838122856826036,-0.008627845024639695,0.1132281631773448,-0.02368217147571595,0.23227400949115926,0.007412211025245825,0.34816612288109294,-0.017659067684259237,0.46551249462696154,-0.0327129168551894,0.5845584012579434,-0.001618617616656116,0.7004505369912409,-0.009589433031754607,0.36486832955424414
0.455000,0.01486075315075232,0.010963625360596922,-0.009385865181572334,0.11339755146467817,-0.02244529272761442,0.23268480821456047,0.008392710240854792,0.34865323717308466,-0.018933986230027323,0.4655001008689862,-0.031992918308411486,0.5847874118635399,-0.0011550340755285583,0.7007558724042188,-0.009225822542970623,0.36479479796442427
