frame,x,y
motor_with_onshape_mounting,0.017990420291893634,0.02753797827119918
motor_with_onshape_mounting_2,0.07948477125806827,0.11309160687342593
motor_with_onshape_mounting_3,0.1377256319760742,0.21801063347066524
motor_with_onshape_mounting_4,0.23101658463151248,0.29348777009245086
motor_with_onshape_mounting_5,0.3464175354937376,0.32639096961492664
motor_with_onshape_mounting_6,0.45830236664539103,0.3697705103839783
motor_with_no_arms,0.5384766375949495,0.45905705067773633
