run_name,delta_deg,distance_first_to_last,orientation_change_deg,displacement_x_local,displacement_y_local
delta_-30_deg,-30.0000701530499,0.02459348777833191,-4.7296218411816335,0.023077855734064262,-0.008500130341393491
delta_-28_deg,-28.00044744804333,0.02446465585646759,-4.799330491555928,0.02178793113534296,-0.011126789429882591
delta_-26_deg,-26.000824743036755,0.02560682569546212,-5.107095980777887,0.023415577160808956,-0.010364374965427556
delta_-24_deg,-24.001202038030186,0.02662067741138826,-5.322212397640281,0.02374240071103379,-0.012039886806689628
delta_-22_deg,-22.001579333023614,0.02714891306838391,-5.397459357313213,0.023186960662650944,-0.014121909786687651
delta_-20_deg,-20.00195662801704,0.026627759932864134,-5.560801631722895,0.02330390728611094,-0.012882759962158336
delta_-18_deg,-18.002333923010465,0.027089502737770662,-5.437474635425108,0.024374755315454247,-0.011820002618080035
delta_-16_deg,-16.002711218003892,0.028620731901799645,-4.834109548558523,0.025700425678890346,-0.012595015463211054
delta_-14_deg,-13.99735893504601,0.029563953740934824,-4.351713079799496,0.026851519040652895,-0.012370258122027581
delta_-12_deg,-11.997736230039438,0.03187718324030954,-4.095931251021181,0.029873167588123993,-0.011124237932916111
delta_-10_deg,-9.998113525032865,0.032052028985367846,-3.2310829941168007,0.030786334668163887,-0.008918192629601059
delta_-8_deg,-7.9984908200262925,0.03264225742328928,-2.5995398313743703,0.03204768429524609,-0.006201846579892246
delta_-6_deg,-5.998868115019719,0.03518577080753566,-2.0388642625715945,0.034207494594474815,-0.008239282789746012
delta_-4_deg,-3.9992454100131463,0.033881754331939566,-1.2045654720069572,0.03359516669728381,-0.004397505109902373
delta_-2_deg,-1.9996227050065731,0.03399675199615092,-0.3161431515958403,0.03394379881074207,-0.0018967521144463582
delta_0_deg,0.0,0.03518033335820523,0.2070084872785452,0.0351750106060879,0.0006119510242258261
delta_2_deg,1.9996227050065731,0.03697080298548424,1.2786395653052975,0.036533914605346204,0.005666864829935669
delta_4_deg,3.9992454100131463,0.03879745024995909,2.2347541377401274,0.03751883149581661,0.009878230058394577
delta_6_deg,5.998868115019719,0.03947613192692724,2.7471076608167007,0.0381413354674218,0.010178581466675773
delta_8_deg,7.9984908200262925,0.04219258557202317,4.257114952868893,0.039034685294981476,0.016015855305735474
delta_10_deg,9.998113525032865,0.043826883488359544,5.540857897793013,0.039007196642671445,0.019980848990526007
delta_12_deg,11.997736230039438,0.04495515196882464,6.072666980690886,0.03909272600693715,0.022197397637710996
delta_14_deg,13.99735893504601,0.04426553406920115,7.078581843623778,0.036174492282107784,0.025511636846022475
delta_16_deg,16.002711218003892,0.04295110818041281,6.538662003561465,0.03714909123219244,0.021557892163840308
delta_18_deg,18.002333923010465,0.04345499093997959,7.129274338263143,0.03611747659474926,0.024163280448263814
delta_20_deg,20.00195662801704,0.043307289393537146,6.984373404526081,0.036144836095505194,0.02385523293209773
delta_22_deg,22.001579333023614,0.04377680908354162,6.902478295845168,0.03769137559463846,0.022265875669300404
delta_24_deg,24.001202038030186,0.04271637251315155,7.1195895242932625,0.035046227273900825,0.024422334748103413
delta_26_deg,26.000824743036755,0.04377030027698815,6.652741621275397,0.038606612951943245,0.020624466604413246
delta_28_deg,28.00044744804333,0.0445740152938837,7.062366221875218,0.03950740633394115,0.02063995358968245
delta_30_deg,30.0000701530499,0.04457802612460323,6.577377434105431,0.04083183062094404,0.017887482251796788
