x,y
7.414592275160259e-07,0.3616739371555977
7.414592275160259e-07,0.3616739371555977
7.414592275160259e-07,0.3616739371555977
7.418670249863917e-07,0.3616738044142745
7.418670150563484e-07,0.3616738044186391
7.422670501147624e-07,0.36167367418849894
7.422670501147624e-07,0.36167367418849894
7.424689953067875e-07,0.3616736085650962
7.424689953067875e-07,0.3616736085650962
7.426675766003186e-07,0.36167354386992157
7.426675766003186e-07,0.36167354386992157
7.426675766003186e-07,0.36167354386992157
7.428654978628738e-07,0.36167347953371165
7.428654978628738e-07,0.36167347953371165
7.430670676215775e-07,0.36167341451708046
7.430670686164742e-07,0.361673414517649
7.430670686164742e-07,0.361673414517649
7.430670686164742e-07,0.361673414517649
7.430670686164742e-07,0.361673414517649
7.43270288257853e-07,0.36167334976582205
7.43270288257853e-07,0.36167334976582205
7.43270288257853e-07,0.36167334976582205
7.432702897659871e-07,0.3616733497660643
7.432702897659871e-07,0.3616733497660643
7.434720458663653e-07,0.3616732858973519
7.434720458663653e-07,0.3616732858973519
7.434720458663653e-07,0.3616732858973519
7.434720458663653e-07,0.3616732858973519
7.434720474138354e-07,0.3616732858974405
7.434720474138354e-07,0.3616732858974405
7.434720474138354e-07,0.3616732858974405
7.434720474138354e-07,0.3616732858974405
7.434720474138354e-07,0.3616732858974405
7.434720474138354e-07,0.3616732858974405
7.434720474138354e-07,0.3616732858974405
7.43472048702523e-07,0.3616732858974928
7.43472048702523e-07,0.3616732858974928
7.436740388648674e-07,0.36167322236754296
7.436740388648674e-07,0.36167322236754296
7.436740388648674e-07,0.36167322236754296
7.436740388648674e-07,0.36167322236754296
7.436740399737482e-07,0.36167322236755495
7.436740399737482e-07,0.36167322236755495
7.436740399737482e-07,0.36167322236755495
7.436740399737482e-07,0.36167322236755495
7.436740399737482e-07,0.36167322236755495
7.436740399737482e-07,0.36167322236755495
7.436740408475101e-07,0.36167322236756205
7.436740408475101e-07,0.36167322236756205
7.436740408475101e-07,0.36167322236756205
7.436740408475101e-07,0.36167322236756205
7.436740408475101e-07,0.36167322236756205
7.436740408475101e-07,0.36167322236756205
7.43674041531309e-07,0.3616732223675662
7.43674041531309e-07,0.3616732223675662
7.43674041531309e-07,0.3616732223675662
7.43674041531309e-07,0.3616732223675662
7.43674041531309e-07,0.3616732223675662
7.43674041531309e-07,0.3616732223675662
7.436740420645713e-07,0.3616732223675687
7.436740420645713e-07,0.3616732223675687
7.436740420645713e-07,0.3616732223675687
7.436740420645713e-07,0.3616732223675687
7.436740420645713e-07,0.3616732223675687
7.436740420645713e-07,0.3616732223675687
7.436740424794244e-07,0.36167322236757016
7.436740424794244e-07,0.36167322236757016
7.436740424794244e-07,0.36167322236757016
7.436740424794244e-07,0.36167322236757016
7.436740424794244e-07,0.36167322236757016
7.436740424794244e-07,0.36167322236757016
7.436740424794244e-07,0.36167322236757016
7.43674042801833e-07,0.36167322236757105
7.43674042801833e-07,0.36167322236757105
7.43674042801833e-07,0.36167322236757105
7.43674042801833e-07,0.36167322236757105
7.43674042801833e-07,0.36167322236757105
7.43674042801833e-07,0.36167322236757105
7.436740430521594e-07,0.36167322236757155
