run_name,A_h_deg,distance_first_to_last,orientation_change_rad,displacement_x_local,displacement_y_local
A_h_4_deg,3.9992454100131463,0.007256447865812251,0.022961035529341155,0.007188252948094478,0.000992499462701216
A_h_6_deg,5.998868115019719,0.010261625692781407,0.030106203914810822,0.010050085170838378,0.002072860322753568
A_h_8_deg,7.9984908200262925,0.013332590535630495,0.03821982648212286,0.012950073039990073,0.00317073787149081
A_h_10_deg,9.998113525032865,0.016626536930428013,0.042929884705318715,0.016058598507576183,0.004308496753086694
A_h_12_deg,11.997736230039438,0.0195831585563879,0.05385235958798839,0.018399577926298902,0.006704896060244546
A_h_14_deg,13.99735893504601,0.021912889506314825,0.06509914608478265,0.02027397043321822,0.008315097677655732
A_h_16_deg,16.002711218003892,0.025457817308399067,0.06851753878540522,0.02317056143296602,0.010546352212446304
A_h_18_deg,18.002333923010465,0.027446985661385703,0.0705138448879524,0.024931387942327594,0.011478802950023785
A_h_20_deg,20.00195662801704,0.031162034455376856,0.08146477922916562,0.027514724079941297,0.014629160953478939
A_h_22_deg,22.001579333023614,0.033642684110540506,0.08968669857131299,0.02932402173237521,0.016490359110728943
A_h_24_deg,24.001202038030186,0.03702375667319581,0.09221868238410166,0.03110553290571265,0.02007994972223883
A_h_26_deg,26.000824743036755,0.04013936771459959,0.10308705852020394,0.03299001824364861,0.022865422296812547
A_h_28_deg,28.00044744804333,0.04341318307902848,0.10312888472710213,0.03575425511486574,0.024623925483852938
A_h_30_deg,30.0000701530499,0.04571773287458745,0.11986794083433133,0.03564931915293554,0.028622318968320463
A_h_32_deg,31.999692858056477,0.04997985934187949,0.12676420020198229,0.038410907851732554,0.031977937673336114
A_h_34_deg,33.99931556306305,0.05194160417823301,0.13088448049401077,0.03843399124748522,0.034939355480553186
A_h_36_deg,35.99893826806962,0.05468486245520467,0.1393401731233726,0.03930677600329039,0.03801856838403847
A_h_38_deg,37.998560973076195,0.05526505606393712,0.1535649877791017,0.038399354255504545,0.039745641452999324
A_h_40_deg,39.998183678082775,0.06160543251023369,0.15176717651281024,0.03975251098879526,0.04706343787759953
A_h_42_deg,41.99780638308934,0.06142541308448304,0.17123440923766686,0.03612183745362925,0.049681930634517084
A_h_44_deg,43.99742908809592,0.06606596611424918,0.17080274626655842,0.03722206699693914,0.05458231954657566
A_h_46_deg,46.00278137105379,0.06785535941953283,0.18841943235485348,0.03268804365806098,0.059462943113864464
A_h_48_deg,48.00240407606037,0.06733438109160098,0.20759115094548466,0.02290758347799269,0.06331793976581793
A_h_50_deg,50.002026781066945,0.06710131240433732,0.23307446132405432,0.019053596482801267,0.06433930826061979
A_h_52_deg,52.00164948607351,0.07243962953933071,0.22038873736146042,0.024394136661060845,0.0682086946390045
A_h_54_deg,54.00127219108009,0.07193462284672936,0.22164967238028854,0.0254756600248758,0.06727243648328893
A_h_56_deg,56.00089489608666,0.07550579425382847,0.2284250075271526,0.021211063668464876,0.07246527267563274
A_h_58_deg,58.000517601093236,0.0763886280420806,0.23291895798838827,0.027240351772808338,0.07136655890152616
A_h_60_deg,60.0001403060998,0.07101598141232575,0.27057053246874235,0.007610099412983285,0.07060705349241185
