run_name,k_h,k_v,distance_first_to_last,orientation_change_deg,displacement_x_local,displacement_y_local
k-0.50,-0.5,-1.0,0.03837251500709248,85.55371566986,-0.017152523922997508,0.03432551282997147
k-0.48,-0.48004201680672276,-0.9600044563279858,0.0263737329728839,91.48659271736986,-0.026124249034132782,-0.003619033479756135
k-0.46,-0.45998854087089386,-0.9200089126559715,0.034933427513834624,104.57086607425559,0.0348951250258568,0.0016354226652948462
k-0.44,-0.4400305576776165,-0.8800133689839573,0.017434545776252832,117.97503946239667,-0.0167348883168042,0.004889468217336692
k-0.42,-0.41997708174178766,-0.840017825311943,0.026156354774967874,128.2011659374172,-0.02053241849599698,-0.01620415643652041
k-0.40,-0.40001909854851037,-0.8000222816399287,0.020100175533689785,137.95400561232432,0.018465015697386986,-0.007941048531547557
k-0.38,-0.37996562261268146,-0.7600267379679145,0.036125654171768495,145.12105212705336,0.033540676950982264,0.013419608005007497
k-0.36,-0.36000763941940417,-0.7200311942959002,0.018591445197773452,157.24152840419657,-0.01761614877679057,-0.005942485743844372
k-0.34,-0.33995416348357527,-0.680035650623886,0.018846284941033256,164.57442372373637,-0.00790186497276997,-0.01710973366334871
k-0.32,-0.31999618029029797,-0.6400401069518717,0.026679630853889167,170.21269833457515,0.02297614093090672,-0.013560960527297019
k-0.30,-0.3000381970970206,-0.6000445632798574,0.025443137096515422,176.99421327186684,0.02487632532051419,-0.005340567746974457
k-0.28,-0.2799847211611918,-0.5600490196078433,0.024423729948356624,178.86755359287883,0.013547363802396926,0.020322094345705553
k-0.26,-0.2600267379679144,-0.5200534759358288,0.018871529521881217,188.5256494621296,-0.007658593774696909,0.01724762499271735
k-0.24,-0.2399732620320856,-0.47994652406417115,0.017402397249277727,196.90103187633926,0.009376975525923627,-0.014660005457294291
k-0.22,-0.22001527883880825,-0.43995098039215685,0.05336936894261572,209.7715995634816,0.05333939174089317,0.0017885273396212615
k-0.20,-0.1999618029029794,-0.3999554367201426,0.014248228432680109,224.74877211515823,-0.006313894941799775,0.012772890985745909
k-0.18,-0.18000381970970208,-0.35995989304812837,0.082760269696014,240.13987600048074,0.0736687752096582,-0.03771171965405215
k-0.16,-0.16004583651642476,-0.3199643493761141,0.03687382481365588,254.73368271027968,0.02930428064085104,0.022381646331546448
k-0.14,-0.1399923605805959,-0.2799688057040999,0.012107890051401988,261.7530754263602,-0.008019601791639616,-0.009071217591942656
k-0.12,-0.12003437738731858,-0.23997326203208558,0.007500867701092624,260.0693398427676,0.004721484077333715,-0.005828430695888797
k-0.10,-0.0999809014514897,-0.1999777183600713,0.046117222764422955,263.91312854176067,-0.025698503844414605,-0.03829340851454749
k-0.08,-0.08002291825821238,-0.15998217468805706,0.06073626927903119,243.31448326130018,0.037147780527395646,-0.04805139756368623
k-0.06,-0.0599694423223835,-0.11998663101604279,0.01954640980879507,225.45174100600815,-0.010433709089259766,-0.016528758303455775
