run_name,O_v_deg,distance_first_to_last,orientation_change_rad,displacement_x_local,displacement_y_local
O_v_-180_deg,-180.00042091829943,0.02807417881092515,-0.02530557680542915,-0.027968464107472966,0.0024340360261909
O_v_-170_deg,-170.00230739326656,0.026941550093422514,0.00489142861335295,-0.026741993851033388,-0.003273054583670621
O_v_-160_deg,-159.99846429028239,0.025887816593903535,0.014696171874914343,-0.025330251043885265,-0.005343915236354025
O_v_-150_deg,-150.00035076524952,0.023663594154993643,0.038309312830383684,-0.022399105444469297,-0.007631891221695648
O_v_-140_deg,-140.00223724021663,0.02142796971251301,0.05286212621057099,-0.01945240692053375,-0.008986754197058331
O_v_-130_deg,-129.99839413723248,0.017198764357208754,0.06918426724734833,-0.014416594002946172,-0.009378662632220577
O_v_-120_deg,-120.0002806121996,0.014663421477049205,0.06693639009521628,-0.012219412718161429,-0.008105669758682661
O_v_-110_deg,-110.00216708716675,0.010941484068203082,0.07686481466973992,-0.008029645166817291,-0.007432420339953168
O_v_-100_deg,-99.99832398418258,0.007054030927195268,0.08306722506506738,-0.004193964853030619,-0.005671861346451551
O_v_-90_deg,-90.00021045914971,0.002928004573774527,0.08768904525609886,-0.00024171954442657933,-0.002918010014699531
O_v_-80_deg,-80.00209693411685,0.0032792226691163674,0.09622636320096668,0.003208155300665013,-0.0006789999119746994
O_v_-70_deg,-69.99825383113267,0.0077812873015023825,0.09233395803867078,0.007599429891387976,0.0016724525088627116
O_v_-60_deg,-60.0001403060998,0.011503789601883386,0.09735678440247973,0.010712962119418747,0.0041916127960844995
O_v_-50_deg,-50.002026781066945,0.014540617782644703,0.09794482010998204,0.013393890181450745,0.0056597942814382175
O_v_-40_deg,-39.998183678082775,0.018797845001759152,0.08722886237522158,0.01750156603997584,0.006859603695442315
O_v_-30_deg,-30.0000701530499,0.022280946617092526,0.07825938094307631,0.021075715048576724,0.007228749362436315
O_v_-20_deg,-20.00195662801704,0.024855698119850504,0.06492674006392142,0.023877811187659373,0.006903322526988639
O_v_-10_deg,-9.998113525032865,0.02597301185314921,0.046034918590300664,0.025574330014394804,0.004533319869439479
O_v_0_deg,0.0,0.02757136907915367,0.026841688678712453,0.0274673554576278,0.002392650635432485
O_v_10_deg,9.998113525032865,0.02734387716246376,0.0021410854712686574,0.027077993269955157,-0.003803932011507385
O_v_20_deg,20.00195662801704,0.02634408891342667,-0.021644057890887494,0.025357481952104886,-0.00714206760869744
O_v_30_deg,30.0000701530499,0.023763580478987755,-0.03956926192157914,0.02248469596467834,-0.007690656965260226
O_v_40_deg,39.998183678082775,0.020974555578911754,-0.05490728894427936,0.019023580279950103,-0.008833763358000476
O_v_50_deg,50.002026781066945,0.018335397155993638,-0.06516497809451859,0.015705732861854234,-0.009461328878127617
O_v_60_deg,60.0001403060998,0.01399810628658299,-0.0754971305796788,0.011192359004005507,-0.008407025605761597
O_v_70_deg,69.99825383113267,0.010504380979514035,-0.08260953740973558,0.007309843533120227,-0.007543752864726989
O_v_80_deg,80.00209693411685,0.006671759551986633,-0.07904339277658078,0.0038940745209674796,-0.005417431046601033
O_v_90_deg,90.00021045914971,0.0033089996378984302,-0.09479400355598773,0.00024033286622158394,-0.0033002604013964805
O_v_100_deg,99.99832398418258,0.0035882890277757584,-0.09062738624553847,-0.003553630339277318,-0.0004975234252009394
O_v_110_deg,110.00216708716675,0.007949988911164519,-0.09846644507064174,-0.007634983859986299,0.0022157042098140123
O_v_120_deg,120.0002806121996,0.011460773975205707,-0.09244028796385356,-0.010794015077265868,0.0038520875668278235
O_v_130_deg,129.99839413723248,0.014527540069492605,-0.09681102671215758,-0.013358063707380744,0.005710652717533308
O_v_140_deg,140.00223724021663,0.01852856744316663,-0.08752103200762552,-0.017064691248827497,0.0072183186462059555
O_v_150_deg,150.00035076524952,0.0218421292170335,-0.07812746652696365,-0.020720729677030824,0.0069086880364511
O_v_160_deg,159.99846429028239,0.024874717021482928,-0.06401983795449358,-0.023988923601561504,0.006578988625715801
O_v_170_deg,170.00230739326656,0.026956221841804563,-0.04318476731333345,-0.026625693916219273,0.004208363038568003
O_v_180_deg,180.00042091829943,0.027805978418240406,-0.027636377229531325,-0.027782812793107008,0.0011347903325376663
