run_name,O_v_deg,distance_first_to_last,orientation_change_deg,displacement_x_local,displacement_y_local
O_v_-180_deg,-180.00042091829943,0.2550353411479047,-3.7253090424735773,-0.011264611175803508,0.25478644738189293
O_v_-170_deg,-170.00230739326656,0.17350136689507356,-2.62225328217621,0.014699476871346328,0.1728775569418069
O_v_-160_deg,-159.99846429028239,0.1587953407744112,0.2176338513456964,0.04998726946048032,0.15072237107857187
O_v_-150_deg,-150.00035076524952,0.13563917906527528,-1.3999732256691173,0.028574467755868624,0.13259519859320182
O_v_-140_deg,-140.00223724021663,0.06078728169314391,22.120146348715306,0.028351810712023796,0.053770516502923804
O_v_-130_deg,-129.99839413723248,0.1581956873102407,0.2642616657701966,0.05014590933153831,0.15003753950552703
O_v_-120_deg,-120.0002806121996,0.1657428229272991,2.1064413716266714,0.0733985908184204,0.14860461035169845
O_v_-110_deg,-110.00216708716675,0.001470203109774989,-0.0044495181676310275,0.00044605329893890506,-0.0014009045786554373
O_v_-100_deg,-99.99832398418258,0.16005676420648154,0.49666729041418395,0.05148900771486288,0.1515488365273321
O_v_-90_deg,-90.00021045914971,0.1697206179650712,-0.13183928628213176,0.0477375227292819,0.16286871119437565
O_v_-80_deg,-80.00209693411685,0.1700675747744299,1.9311936668730572,0.07501460137199233,0.15262958288175132
O_v_-70_deg,-69.99825383113267,0.07067829026348892,5.113045134482378,0.04478481937155576,0.054678521088514426
O_v_-60_deg,-60.0001403060998,0.055406745462676994,-7.384702013911414,-0.03240879706357543,0.044939707560884994
O_v_-50_deg,-50.002026781066945,0.003667083921511724,34.77181935265639,0.0023299317070322985,0.002831770246325673
O_v_-40_deg,-39.998183678082775,0.0495667424186597,5.4171939110043885,0.0271775323559063,0.041451703089757666
O_v_-30_deg,-30.0000701530499,0.04543147304704645,2.0809603828518104,0.0384860388033001,0.024142153185981303
O_v_-20_deg,-20.00195662801704,0.040899651672274565,0.11466381275676629,0.03947321612116214,0.01070732067164411
O_v_-10_deg,-9.998113525032865,0.036458270497868796,-0.518847626367498,0.0364230565746347,0.001602010442141391
O_v_0_deg,0.0,0.03406328803949979,-0.46915434511562215,0.03403101091694142,-0.0014825275825236799
O_v_10_deg,9.998113525032865,0.03169451037281016,-0.6270598216669676,0.030305510618598146,-0.009279979198155878
O_v_20_deg,20.00195662801704,0.03009018435435632,-0.6659515079090265,0.027689795105191078,-0.01177686042677275
O_v_30_deg,30.0000701530499,0.02706777571165838,-0.6736183729058419,0.024631508088291263,-0.011222891395406337
O_v_40_deg,39.998183678082775,0.022252533238349647,-0.6582700514032297,0.0176110450582729,-0.013602438291693789
O_v_50_deg,50.002026781066945,0.015272516986512974,-0.14441888717437715,0.011041478375303618,-0.010551565305253526
O_v_60_deg,60.0001403060998,0.007669471698971569,0.01966712298977744,0.0075991294975503165,-0.0010363527492058503
O_v_70_deg,69.99825383113267,0.0011892221873150304,-0.005235705651472971,-0.00016626102900288583,-0.0011775426451034576
O_v_80_deg,80.00209693411685,0.0016514519978382183,-0.004232322002039194,-3.546001882200654e-05,-0.001651071254740081
O_v_90_deg,90.00021045914971,0.013446259712533841,0.022253402116982894,0.013312611571662188,-0.0018911037515051004
O_v_100_deg,99.99832398418258,0.0012605484135089526,-0.0005270393974231969,0.0004581868272397453,-0.0011743283757722595
O_v_110_deg,110.00216708716675,0.0017622212301556253,-0.0014369872075830938,-0.0001861920657770879,-0.001752357320483715
O_v_120_deg,120.0002806121996,0.00467598784546048,0.01918345603067518,0.004642716997464395,-0.0005568134448352826
O_v_130_deg,129.99839413723248,0.012265952339462809,0.019935307434850127,0.012136729375623576,-0.001775777817422263
O_v_140_deg,140.00223724021663,0.0014794908405604656,0.02373136013714161,0.0011024593056097563,-0.0009866491913424784
O_v_150_deg,150.00035076524952,0.013234429697725423,0.02198535142353168,0.013097026107498196,-0.0019021137094157384
O_v_160_deg,159.99846429028239,0.003459436717403689,0.015644705112019403,0.0031876962591876157,-0.0013439847323842983
O_v_170_deg,170.00230739326656,0.0023637296265427692,-0.006371492368303328,-0.001688789835474127,-0.0016538460142937399
O_v_180_deg,180.00042091829943,0.001503704962956459,-0.0012240487675805906,-0.001433240309117746,-0.00045491848933622536
