run_name,delta,distance_first_to_last,orientation_change_rad,displacement_x_local,displacement_y_local
delta_-6_deg,-0.1047,0.028580246183007762,-0.0015178120206164956,0.028551311441391992,-0.0012857242542505995
delta_-5_deg,-0.0873,0.029789873123329938,0.001121583856026201,0.029699902043821627,-0.0023135166503604984
delta_-4_deg,-0.0698,0.03155503042102898,0.009460152790651872,0.03155434757580594,0.0002075907928944077
delta_-3_deg,-0.0524,0.03207778327997938,0.012289619048333356,0.0320704554060366,0.0006856166616579444
delta_-2_deg,-0.0349,0.03562817724520835,0.01766969826760565,0.035573165469910746,0.0019791190632025297
delta_-1_deg,-0.0175,0.03618591761711401,0.028173270753734506,0.03616164384069542,0.0013251975442388634
delta_0_deg,0.0,0.03690454557610226,0.032154046703960375,0.036705766431923983,0.0038252052002018706
delta_1_deg,0.0175,0.03922265215443129,0.03393477012647983,0.038954410221866936,0.004579341251099588
delta_2_deg,0.0349,0.040222212247304275,0.04290521119327248,0.04016230073376557,0.0021945290697021683
delta_3_deg,0.0524,0.04088104249646515,0.04796500486589037,0.04069345579135302,0.0039118143303315265
delta_4_deg,0.0698,0.04223078623908778,0.05138039327286902,0.04168892710635878,0.006743342130741223
delta_5_deg,0.0873,0.04325019462608961,0.057442451279643446,0.042884194452559324,0.005614730745967281
delta_6_deg,0.1047,0.04517230856924121,0.06139413025652299,0.04406928824529788,0.00992145629570547
