run_name,k_v,distance_first_to_last,orientation_change_deg,displacement_x_local,displacement_y_local
k_v_1.0,1.0,0.0066809380388934475,-0.624485904504689,-0.006642996389365247,0.0007110077709939091
k_v_1.1,1.1000445632798574,0.007802240547179026,-0.1500263024320571,-0.007152955505471214,0.003116116989587122
k_v_1.2,1.1999777183600713,0.006186108798064513,0.2503130923323844,-0.005883971766313475,0.0019096644508177483
k_v_1.3,1.3000222816399287,0.009990488565837306,-1.1685646518578137,-0.009700425055703722,0.0023898986427883
k_v_1.4,1.3999554367201426,0.007111118782625362,0.5349842688824893,-0.0068324803350221595,-0.001971096855089234
k_v_1.5,1.5000000000000002,0.005313293196034719,-1.3224926542034483,-0.005307868415413026,-0.00024003639659360074
k_v_1.6,1.6000445632798574,0.0009943989916120382,-1.6776270013884393,-0.0008191253619718369,-0.0005637933982351565
k_v_1.7,1.6999777183600715,0.0024549578958318083,-1.9493348303526965,0.0021221192838612357,-0.0012342722614444588
k_v_1.8,1.8000222816399287,0.004734889561207254,-1.1189904896500351,0.0038107365994679296,-0.0028102430012909947
k_v_1.9,1.8999554367201428,0.005235493280727621,0.1920840570859896,0.003883892029990489,-0.003510807968533799
k_v_2.0,2.0,0.0036288568548701887,2.3488073899333948,0.0021062415997031916,-0.002955054719767148
k_v_2.1,2.1000445632798574,0.001977269340502191,4.207647268074175,-0.001907215069227277,-0.0005216557529658441
k_v_2.2,2.1999777183600715,0.0009599358138460082,6.181237501793647,0.0008526366904736092,0.0004410073023912517
k_v_2.3,2.3000222816399285,0.0015283218613100192,7.951511759695029,0.0010562079603124472,0.001104623219170565
k_v_2.4,2.3999554367201426,0.003817535635297903,7.587023546848862,0.003002873227369098,0.0023571870326979283
k_v_2.5,2.5000000000000004,0.007940611219066399,7.318673490453327,0.006848494280919823,0.004018884499033484
k_v_2.6,2.6000445632798574,0.014092454875008681,5.8153144367997776,0.012237327222320108,0.006988927446899074
k_v_2.7,2.6999777183600715,0.01931748692269913,4.731454182463948,0.01692695454805924,0.009308249606482877
k_v_2.8,2.800022281639929,0.02220298085291672,2.8687036484173345,0.020984159352972577,0.007255164712399022
k_v_2.9,2.899955436720143,0.02877926056087802,0.7987477053804602,0.02869524721033029,0.0021974134724581807
k_v_3.0,3.0000000000000004,0.034548961070640365,-0.6077112723502274,0.03422215437649494,-0.004740765855004044
k_v_3.1,3.1000445632798574,0.037303249091636945,-1.2703732634549667,0.03662069202158971,-0.007103330813962401
k_v_3.2,3.1999777183600715,0.03736766960658178,-1.6968474812630088,0.03633206453938179,-0.00873635038977097
k_v_3.3,3.300022281639929,0.035256099445421546,0.47817840709986065,0.035105432006743424,-0.0032559471318446293
k_v_3.4,3.399955436720143,0.030948658650300113,0.9272761094873708,0.030948275762710233,-0.0001539466402311093
k_v_3.5,3.5,0.025951116187941395,1.1507473363831067,0.025933521400386652,0.0009554575740040082
k_v_3.6,3.6000445632798574,0.01581478421600893,2.9804338272302484,0.015497141517625533,0.003153728679137151
k_v_3.7,3.6999777183600715,0.0077054833317771075,4.108657757262993,0.007191740044219472,0.002766468599616656
k_v_3.8,3.8000222816399285,0.0008431965691881731,5.318133283183443,-0.0008416301313202834,5.137291450276214e-05
k_v_3.9,3.8999554367201426,0.006072574347757472,6.263785781642171,-0.005204274970665673,-0.003129166221015574
k_v_4.0,4.0,0.009871877096724461,7.162787761111106,-0.0077610234503337535,-0.006100858334382345
