frame,x,y
motor_with_onshape_mounting,-0.46943553008251393,-0.29242656507136217
motor_with_onshape_mounting_2,-0.5019964613565069,-0.3928847679788354
motor_with_onshape_mounting_3,-0.5736641152370455,-0.4891331310156128
motor_with_onshape_mounting_4,-0.6836438758931164,-0.5371378416806439
motor_with_onshape_mounting_5,-0.8035262995328323,-0.5424486327956921
motor_with_onshape_mounting_6,-0.9232157490898933,-0.5510762433993146
motor_with_no_arms,-1.029859483023019,-0.6060954583410122
